DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
66,15,HB,Outlet,5/26/2014,11:20,Surface,0,0,2,,18.43004755,NA,0
67,15,MO,DeepHole,5/27/2014,9:15,PML,0,0.5,1,,16.06062544,NA,0
68,15,MO,DeepHole,5/27/2014,9:15,PML,0,0.5,2,,15.00885323,NA,0
69,15,MO,DeepHole,5/27/2014,9:15,Hypo,5,5,1,,17.06785842,NA,0
70,15,MO,DeepHole,5/27/2014,9:15,Hypo,5,5,2,,15.71538659,NA,0
71,15,MO,Inlet1,5/27/2014,10:25,Surface,0,0,1,,10.54322239,0.442639676,0
72,15,MO,Inlet1,5/27/2014,10:25,Surface,0,0,2,,10.63337612,0.4235502,0
73,15,MO,Inlet2,5/27/2014,10:30,Surface,0,0,1,,26.11219341,0.759695897,0
74,15,MO,Inlet2,5/27/2014,10:30,Surface,0,0,2,,27.40454664,NA,0
75,15,MO,Inlet3,5/27/2014,10:10,Surface,0,0,1,,41.35740431,NA,0
76,15,MO,Inlet3,5/27/2014,10:10,Surface,0,0,2,,40.15076909,NA,0
77,15,MO,Outlet,5/27/2014,9:15,Surface,0,0,1,,14.46880507,0.488539732,0
78,15,MO,Outlet,5/27/2014,9:15,Surface,0,0,2,,14.92400634,0.421596156,0
79,15,CR,DeepHole,5/27/2014,11:35,PML,0,1,1,,6.086432476,0.329212247,0
80,15,CR,DeepHole,5/27/2014,11:35,PML,0,1,2,,5.431101437,NA,0
81,15,CR,DeepHole,5/27/2014,11:35,Hypo,10,10,1,,4.98780602,0.280059412,0
82,15,CR,DeepHole,5/27/2014,11:35,Hypo,10,10,2,,5.196973344,0.282898648,0
83,15,CR,Outlet,5/27/2014,12:30,Surface,0,0,1,,4.782149897,0.237113849,0
84,15,CR,Outlet,5/27/2014,12:30,Surface,0,0,2,,5.136742455,NA,0
85,17,BR,DeepHole,5/27/2014,10:30,PML,0,1.5,1,,12.51983611,0.464286698,0
86,17,BR,DeepHole,5/27/2014,10:30,PML,0,1.5,2,,11.34909614,NA,0
87,17,BR,DeepHole,5/27/2014,10:30,Hypo,4,4,1,,6.852039656,NA,0
88,17,BR,DeepHole,5/27/2014,10:30,Hypo,4,4,2,,9.005899641,NA,0
89,17,CB,DeepHole,5/28/2014,9:34,PML,0,1,1,,19.07956527,NA,0
90,17,CB,DeepHole,5/28/2014,9:34,PML,0,1,2,,20.28252254,NA,0
91,17,CB,DeepHole,5/28/2014,9:34,Hypo,5,5,1,,23.61043615,NA,0
92,17,CB,DeepHole,5/28/2014,9:34,Hypo,5,5,2,,22.362081,NA,0
93,15,WL,DeepHole,5/28/2014,9:05,PML,0,1,1,,6.569252608,NA,0
94,15,WL,DeepHole,5/28/2014,9:05,PML,0,1,2,,6.579042517,NA,0
95,15,WL,DeepHole,5/28/2014,9:05,Hypo,10,10,1,,5.838814785,0.371772306,0
