"datetime","NLL","iota","R","GPP","DO0","convergence","sd_iota","sd_R","sd_GPP","GPP.weighted","R.weighted","thermo.depth","GPP.weighted.areal","R.weighted.areal"
2011-05-12,"Error in FUN(X[[i]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-05-13,"-106.6601925",0.75450096,0.439044045,0.087627427,10.03899412,0,0.798122648,0.124390274,0.092693632,NA,NA,2,NA,NA
2011-05-14,"-74.95698018",2.070598938,0.787245311,0.467544116,9.994546777,0,1.187441654,0.372178113,0.268125975,NA,NA,2,NA,NA
2011-05-15,"-265.2757773",0.430827821,0.477422236,0.301176472,9.80685015,0,0.05215693,0.048418966,0.036461063,NA,NA,2,NA,NA
2011-05-16,"-254.2875617",0.781880911,0.538362531,0.48532597,9.867716156,0,0.066283957,0.055176269,0.041143511,NA,NA,2,NA,NA
2011-05-17,"-196.0247658",1.406282765,1.0367586,0.990211547,10.0473014,0,0.098242856,0.089987254,0.069176138,0.783284951928755,1.04062421848223,NA,NA,NA
2011-05-18,"-122.0590028",2.449474051,1.055136282,0.960933773,10.12767299,0,0.384553473,0.195081123,0.150861129,0.778345988668473,1.07959144558548,2,1556.69197733695,2159.18289117096
2011-05-19,"-52.08999262",4.644231764,1.333486643,1.293179884,10.02132765,0,1.076366622,0.404327546,0.299712791,0.763472836141562,1.05070363548237,2,1526.94567228312,2101.40727096475
2011-05-20,"-26.09399479",2.078721012,0.920594375,1.064175238,9.845653638,0,0.444713781,0.286426421,0.227665661,0.81924026569407,1.13231965609149,2.13888888888889,1752.26390162343,2421.90593108459
2011-05-21,"-54.27390646",4.531671725,2.095535326,0.95650058,10.21779072,0,0.714485956,0.176859977,0.15080665,0.867922844840128,1.19755234368167,2,1735.84568968026,2395.10468736333
2011-05-22,"-117.7810172",1.187455451,1.094092664,0.580587376,8.962615686,0,0.248975142,0.160721673,0.121732419,0.767418851064766,1.16677540772507,2,1534.83770212953,2333.55081545013
2011-05-23,"-209.7561506",1.09920946,0.335796732,0.216419076,8.31113545,0,0.415608243,0.099976385,0.081827491,0.671410106567359,1.08281176367535,2,1342.82021313472,2165.62352735069
2011-05-24,"-155.4575803",0.956237099,0.535907203,0.526862071,8.412580257,0,0.378390294,0.278815431,0.20848333,0.55740490834845,1.00860509974808,2,1114.8098166969,2017.21019949616
2011-05-25,"-175.8749584",0.510663854,0.488365617,0.250984546,8.585419469,0,0.185155877,0.12805308,0.091001671,0.440655307077622,0.944100643014685,NA,NA,NA
2011-05-26,"-207.339552",0.335158771,0.38956222,0.241134633,8.67996333,0,0.103337961,0.098510935,0.074347931,0.301274054923186,0.537639709962662,3,903.822164769558,1612.91912988799
2011-05-27,"-253.6817096",0.382940853,0.511749588,0.242456608,8.84318735,0,0.092805623,0.076649805,0.0587593,0.328455961634636,0.526603949299801,3,985.367884903908,1579.8118478994
2011-05-28,"-321.3993499",0.214951873,0.328960136,0.097811163,8.719881314,0,0.114716427,0.098930305,0.052200276,0.357253920032832,0.549149397129874,3,1071.7617600985,1647.44819138962
2011-05-29,"-330.3871064",0.449966468,0.275665779,0.146321908,8.646925902,0,0.141874632,0.061976432,0.046135364,0.382737739196582,0.551779273595012,3,1148.21321758974,1655.33782078504
2011-05-30,"-284.1016902",1.800073156,0.491577058,0.251936489,8.60776139,0,0.388367752,0.075169399,0.054355573,0.404846301284312,0.62213732330021,3,1214.53890385294,1866.41196990063
