"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","amountN.mg","amountC.mg","flag","ProjectID","Date.time","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","dateTimeSample","dateSample","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP"
"58",58,"P-0856",NA,NA,1.269,157,1.259,-3.227,0,6.009,5.914,0,475,592,0.026,-31.177,0.011652,0.1141548,0,3,"7/25/13 12:40","EL","DeepHole","Mete","4",170,"",0.068541176,0.671498824,"2013-07-25 12:40:00","2013-07-25 00:00:00",1.8407061,9.5041878278245e-06,8.31869779396016e-07,5.94293771994963e-08,159.924069133692,11.4250908774749,13.9976189991617
"59",59,"P-0857",NA,NA,0.712,84,0.706,-0.934,0,5.411,5.326,0,425,528,0.023,-25.121,0.007196,0.1038692,0,3,"7/25/13 13:30","EL","Inlet","Surface","0",180,"",0.039977778,0.577051111,"2013-07-25 13:30:00","2013-07-25 00:00:00",0.8252091,8.64783948047623e-06,5.13743128435782e-07,2.66428534530075e-08,324.583832423552,16.8330027241566,19.2825865796214
"60",60,"P-0858",NA,NA,1.526,198,1.514,-1.901,0,10.607,10.44,0,841,1045,0.045,-29.227,0.013708,0.1932404,0,3,"7/25/13 12:00","EL","Outlet","Surface","0",50,"",0.27416,3.864808,"2013-07-25 12:00:00","2013-07-25 00:00:00",1.777842,1.6088618766131e-05,9.78653530377668e-07,5.73997352532851e-08,280.290818331087,16.4395450143856,17.0497917117424
"61",61,"P-0899",NA,NA,1.318,164,1.308,-0.801,0,6.671,6.566,0,525,654,0.029,-30.046,0.012044,0.1255412,0,3,"7/31/13 8:40","WL","DeepHole","PML","0-1",200,"",0.06022,0.627706,"2013-07-31 08:40:00","2013-07-31 00:00:00",1.3716432,1.04521854966281e-05,8.59855786392518e-07,4.42851257546896e-08,236.020228428983,12.1557424652333,19.4163564343376
"62",62,"P-0900",NA,NA,1.198,156,1.189,-1.524,0,6.475,6.373,0,509,635,0.028,-32.092,0.011084,0.12217,0,3,"7/31/13 8:40","WL","DeepHole","Hypo","8",140,"",0.079171429,0.872642857,"2013-07-31 08:40:00","2013-07-31 00:00:00",2.3194404,1.01715094496711e-05,7.91318626401085e-07,7.48858812514125e-08,135.826797784786,12.853873408656,10.5669935797966
"63",63,"P-0901",NA,NA,7.189,938,7.135,0.965,0,22.84,22.481,0,1799,2207,0.097,-25.241,0.059012,0.403648,0,3,"7/31/13 9:25","EL","DeepHole","PML","0-1",180,"",0.327844444,2.242488889,"2013-07-31 09:25:00","2013-07-31 00:00:00",1.4296716,3.36065273499292e-05,4.21303633897337e-06,4.61586413973461e-08,728.065782106435,7.97679503474647,91.2729710284671
"64",64,"P-0902",NA,NA,0.962,118,0.955,-2.264,0,6.071,5.975,0,467,579,0.026,-31.396,0.009196,0.1152212,0,3,"7/31/13 9:25","EL","DeepHole","Hypo","8",180,"",0.051088889,0.640117778,"2013-07-31 09:25:00","2013-07-31 00:00:00",2.1888765,9.59297310798435e-06,6.56528878417934e-07,7.06704710554354e-08,135.742311671581,14.6116544501454,9.29000286276483
"65",65,"P-0903",NA,NA,NA,NA,NA,NA,NA,3.843,3.782,0,300,374,0.017,-25.505,NA,0.0768996,0,3,"7/31/13 10:05","EL","Inlet","Surface","0",200,"no N peak",NA,0.384498,"2013-07-31 10:05:00","2013-07-31 00:00:00",0.5544099,6.40243110482058e-06,NA,1.78997804539438e-08,357.68210237517,NA,NA
"66",66,"P-0904",NA,NA,1.088,139,1.08,0.471,0,8.604,8.469,0,681,849,0.037,-29.043,0.010204,0.1587888,0,3,"7/31/13 9:25","EL","Outlet","Surface","0",120,"",0.085033333,1.32324,"2013-07-31 09:25:00","2013-07-31 00:00:00",1.4103288,1.32202814087087e-05,7.28492896408938e-07,4.55341361831272e-08,290.337810638153,18.1474403853178,15.9988298334928
"67",67,"P-0931",NA,NA,0.92,114,0.913,-1.625,0,5.532,5.445,0,437,545,0.024,-29.341,0.00886,0.1059504,0,3,"8/6/13 13:30","WL","DeepHole","PML","0-2",200,"",0.0443,0.529752,"2013-08-06 13:30:00","2013-08-06 00:00:00",0.5894979,8.82111397885272e-06,6.32540872420932e-07,1.90326381041552e-08,463.473005191376,13.9455240972675,33.2345347481196
"68",68,"P-0932",NA,NA,0.879,103,0.873,-3.773,0,6.707,6.601,0,510,639,0.029,-32.292,0.008532,0.1261604,0,3,"8/6/13 13:30","WL","DeepHole","Hypo","8",140,"",0.060942857,0.901145714,"2013-08-06 13:30:00","2013-08-06 00:00:00",2.2473123,1.05037382399467e-05,6.09124009423859e-07,7.25571400897556e-08,144.765053128517,17.2440062736678,8.39509397242439
"69",69,"P-0933",NA,NA,NA,NA,NA,NA,NA,3.47,3.416,0,268,336,0.015,-29.904,NA,0.070484,0,3,"8/6/13 15:00","EL","DeepHole","PML","0-1.5",140,"no N peak",NA,0.503457143,"2013-08-06 15:00:00","2013-08-06 00:00:00",0.6695628,5.86828740321372e-06,NA,2.16176282568689e-08,271.458428902769,NA,NA
"70",70,"P-0934",NA,NA,0.607,71,0.602,-2.866,0,5.46,5.375,0,416,521,0.024,-31.035,0.006356,0.104712,0,3,"8/6/13 15:00","EL","DeepHole","Hypo","8",140,"",0.0454,0.747942857,"2013-08-06 15:00:00","2013-08-06 00:00:00",1.5502767,8.71800849221547e-06,4.53773113443278e-07,5.00525199367191e-08,174.177214318831,19.2122632080651,9.06593941757537
"71",71,"P-0935",NA,NA,0.725,82,0.72,4.509,0,6.298,6.198,0,490,610,0.027,-24.855,0.0073,0.1191256,0,3,"8/6/13 15:00","EL","Inlet","Surface","0",280,"",0.026071429,0.425448571,"2013-08-06 15:00:00","2013-08-06 00:00:00",0.7637568,9.91804179502123e-06,5.21167987434854e-07,2.46587931424144e-08,402.211160040988,19.0304125236798,21.1351782070153
"72",72,"P-0936",NA,NA,0.583,63,0.578,-3.05,0,7.536,7.417,0,541,676,0.032,-28.347,0.006164,0.1404192,0,3,"8/6/13 15:00","EL","outlet","Surface","0",90,"",0.068488889,1.560213333,"2013-08-06 15:00:00","2013-08-06 00:00:00",1.5314379,1.16908833569228e-05,4.40065681444992e-07,4.944428695961e-08,236.445585037415,26.5662237476343,8.90023314128227
"73",73,"P-0953",NA,NA,NA,NA,NA,NA,NA,3.853,3.792,0,275,343,0.016,-29.149,NA,0.0770716,0,3,"8/14/13 8:00","WL","DeepHole","PML","0-2",140,"no N peak",NA,0.550511429,"2013-08-14 08:00:00","2013-08-14 00:00:00",0.9568545,6.41675131129798e-06,NA,3.08931811577826e-08,207.707690526441,NA,NA
"74",74,"P-0954",NA,NA,NA,NA,NA,NA,NA,4.544,4.472,0,295,370,0.02,-31.609,NA,0.0889568,1,3,"8/14/13 8:00","WL","DeepHole","Hypo","8",140,"sample didn’t combust",NA,0.635405714,"2013-08-14 08:00:00","2013-08-14 00:00:00",1.9835691,7.40627757888602e-06,NA,6.40418784102283e-08,115.647413266741,NA,NA
"75",75,"P-0955",NA,NA,NA,NA,NA,NA,NA,2.289,2.252,0,108,136,0.01,-30.221,NA,0.0501708,1,3,"8/14/13 9:35","EL","DeepHole","PML","0-2",140,"sample didn’t combust",NA,0.358362857,"2013-08-14 09:35:00","2013-08-14 00:00:00",0.8485314,4.17707101823329e-06,NA,2.73958415394053e-08,152.470987694432,NA,NA
"76",76,"P-0956",NA,NA,NA,NA,NA,NA,NA,2.678,2.635,0,124,156,0.012,-30.386,NA,0.0568616,1,3,"8/14/13 9:35","EL","DeepHole","Hypo","8",140,"sample didn’t combust",NA,0.406154286,"2013-08-14 09:35:00","2013-08-14 00:00:00",1.7386647,4.73412705020398e-06,NA,5.613484970781e-08,84.3349020233561,NA,NA
