"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","amountN.mg","amountC.mg","flag","ProjectID","Date.time","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","dateTimeSample","dateSample","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP"
"15",15,"P-0598",NA,NA,0.564,68,0.56,3.176,0,3.724,3.665,0,332,413,0.016,-26.636,0.0059504,0.0775596,0,15,"5/22/13 18:25","EL","Inlet","Surface","0",180,"",0.033057778,0.430886667,"2013-05-22 18:25:00","2013-05-22 00:00:00",0.635757,6.45738073432687e-06,4.24816163346898e-07,2.0526167952733e-08,314.592609258421,15.2004120640153,20.6963211216604
"16",16,"P-0622",NA,NA,1.048,139,1.04,1.913,0,4.965,4.887,0,443,553,0.021,-29.086,0.0101128,0.0997735,0,15,"5/29/13 10:00","EL","Outlet","Surface","0",140,"",0.072234286,0.712667857,"2013-05-29 10:00:00","2013-05-29 00:00:00",1.4312508,8.30684372658397e-06,7.21981866209752e-07,4.62096277402899e-08,179.76435069485,11.5056126966084,15.6240571827905
"17",17,"P-0623",NA,NA,0.611,80,0.606,0.798,0,4.097,4.032,0,373,465,0.018,-26.122,0.0063546,0.0842363,0,15,"5/29/13 10:00","EL","Inlet","Surface","0",140,"",0.04539,0.601687857,"2013-05-29 10:00:00","2013-05-29 00:00:00",0.4383204,7.01326284239447e-06,4.53673163418291e-07,1.41516934103897e-08,495.577641418205,15.4588444014445,32.0578711156376
"18",18,"P-0624",NA,NA,1.711,218,1.698,1.739,0,9.915,9.758,0,879,1092,0.043,-25.788,0.0158146,0.1883785,0,3,"5/29/13 9:00","WL","DeepHole","PML","0-1.5",140,"",0.112961429,1.345560714,"2013-05-29 09:00:00","2013-05-29 00:00:00",0.4732476,1.56838314878029e-05,1.12904976083387e-06,1.52793594420947e-08,1026.4717933524,13.8911782561465,73.8937888798748
"19",19,"P-0625",NA,NA,1.379,169,1.369,0.808,0,9.733,9.579,0,844,1050,0.042,-28.263,0.0129594,0.1851207,0,3,"5/29/13 9:00","WL","DeepHole","Hypo","8",140,"",0.092567143,1.322290714,"2013-05-29 09:00:00","2013-05-29 00:00:00",2.4940356,1.54125967862792e-05,9.25208824159349e-07,8.05228941336002e-08,191.406393822697,16.6585060408208,11.4900095695055
"20",20,"P-0626",NA,NA,1.956,248,1.942,1.48,0,10.115,9.956,0,882,1091,0.043,-26.245,0.0179216,0.1919585,0,3,"5/29/13 10:15","EL","DeepHole","PML","0-2",150,"",0.119477333,1.279723333,"2013-05-29 10:15:00","2013-05-29 00:00:00",1.3214796,1.59818915993672e-05,1.27947454844007e-06,4.26655344977884e-08,374.585524064996,12.4909804722981,29.9884804796337
"21",21,"P-0627",NA,NA,1.231,151,1.221,0.087,0,6.314,6.214,0,554,690,0.027,-28.685,0.0116866,0.1239206,0,3,"5/29/13 10:15","EL","DeepHole","Hypo","8",NA,"vol not recorded",NA,NA,"2013-05-29 10:15:00","2013-05-29 00:00:00",1.1967396,1.03172591790858e-05,8.34339972870708e-07,3.86381558131276e-08,267.022557416689,12.3657735630085,21.5936800116955
"22",22,"P-0656",NA,NA,0.911,124,0.904,0.816,0,4.626,4.553,0,422,526,0.02,-27.798,0.0089346,0.0937054,0,3,"6/5/13 9:00","WL","DeepHole","PML","0-2",140,"",0.063818571,0.669324286,"2013-06-05 09:00:00","2013-06-05 00:00:00",0.468258,7.80163183748231e-06,6.37866780895267e-07,1.51182642947083e-08,516.040180631916,12.2308169529262,42.1917998297287
"23",23,"P-0657",NA,NA,1.79,242,1.776,1.467,0,8.018,7.892,0,726,906,0.034,-30.368,0.016494,0.1544222,0,3,"6/5/13 9:00","WL","DeepHole","Hypo","8",140,"",0.117814286,1.103015714,"2013-06-05 09:00:00","2013-06-05 00:00:00",2.2844724,1.28567313296145e-05,1.17755408010281e-06,7.375689794337e-08,174.312256725952,10.9181663473936,15.9653417231148
"24",24,"P-0658",NA,NA,1.551,198,1.539,0.281,0,6.273,6.174,0,561,699,0.027,-28.807,0.0144386,0.1231867,0,3,"6/5/13 10:45","EL","DeepHole","PML","0-1.5",180,"",0.080214444,0.684370556,"2013-06-05 10:45:00","2013-06-05 00:00:00",1.1717916,1.02561568562151e-05,1.03081316484615e-06,3.78326800761954e-08,271.092527295426,9.94957884317077,27.2466334071517
"25",25,"P-0659",NA,NA,1.211,163,1.202,1.434,0,5.863,5.771,0,530,662,0.025,-30.281,0.0115146,0.1158477,0,3,"6/5/13 10:45","EL","DeepHole","Hypo","8",140,"",0.082247143,0.827483571,"2013-06-05 10:45:00","2013-06-05 00:00:00",1.1817708,9.64513362750812e-06,8.22060398372242e-07,3.81548703709683e-08,252.789055072954,11.7328771056317,21.5453594883064
"26",26,"P-0660",NA,NA,3.342,446,3.316,1.111,0,14.395,14.169,0,1264,1573,0.062,-31.949,0.0298412,0.2685705,0,3,"6/5/13 10:30","EL","Outlet","Surface","0",100,"",0.298412,2.685705,"2013-06-05 10:30:00","2013-06-05 00:00:00",3.037902,2.23603779868454e-05,2.13044906118369e-06,9.80822651987214e-08,227.9757501679,10.4956172828755,21.721042605075
"27",27,"P-0661",NA,NA,0.79,101,0.784,2.295,0,7.055,6.944,0,643,798,0.03,-25.105,0.007894,0.1371845,0,3,"6/5/13 12:00","EL","Inlet","Surface","0",180,"",0.043855556,0.762136111,"2013-06-05 12:00:00","2013-06-05 00:00:00",0.518154,1.14215718924319e-05,5.63575355179553e-07,1.67292157685726e-08,682.732056925729,20.2662728017854,33.6880917178605
"28",28,"P-0680",NA,NA,0.954,119,0.947,-0.389,0,4.426,4.356,0,398,497,0.019,-28.078,0.0093044,0.0901254,0,3,"6/12/13 10:05","EL","DeepHole","PML","0-1",200,"",0.046522,0.450627,"2013-06-12 10:05:00","2013-06-12 00:00:00",0.7843524,7.50357172591791e-06,6.64267866066967e-07,2.53237464888774e-08,296.30575117365,11.2960028765887,26.2310265330892
"29",29,"P-0681",NA,NA,0.93,125,0.923,2.174,0,5.652,5.563,0,517,645,0.024,-28.06,0.009098,0.1120708,0,3,"6/12/13 10:05","EL","DeepHole","Hypo","8",140,"",0.064985714,0.800505714,"2013-06-12 10:05:00","2013-06-12 00:00:00",0.83673,9.33068020980768e-06,6.49532376668808e-07,2.70148193587964e-08,345.391175335381,14.3652272695951,24.0435580205837
"30",30,"P-0684",NA,NA,0.834,117,0.828,1.616,0,4.587,4.515,0,371,460,0.02,-27.575,0.0060388,0.0851964,0,3,"6/12/13 9:00","WL","DeepHole","PML","0-1",200,"",0.030194,0.425982,"2013-06-12 09:00:00","2013-06-12 00:00:00",0.6843588,7.09319790192324e-06,4.31127293496109e-07,2.20953346463048e-08,321.026950506472,16.4526765271641,19.5121413817649
"31",31,"P-0685",NA,NA,2.125,279,2.109,-0.691,0,9.852,9.697,0,781,970,0.042,-31.751,0.016625,0.1757544,0,3,"6/12/13 9:00","WL","DeepHole","Hypo","8",180,"",0.092361111,0.976413333,"2013-06-12 09:00:00","2013-06-12 00:00:00",3.3318084,1.46327866122721e-05,1.18690654672664e-06,1.07571381525845e-07,136.028620295784,12.3285077941711,11.0336646224207
"32",32,"P-0706",NA,NA,1.111,146,1.103,0.671,0,5.776,5.685,0,463,574,0.025,-27.344,0.0083102,0.1056472,0,3,"6/19/13 9:00","EL","DeepHole","PML","0-1.5",180,"",0.046167778,0.586928889,"2013-06-19 09:00:00","2013-06-19 00:00:00",0.8319684,8.79587045208559e-06,5.93289069750839e-07,2.6861085461531e-08,327.457744203322,14.8256067750912,22.0873080725094
"33",33,"P-0707",NA,NA,0.986,125,0.979,0.124,0,7.417,7.301,0,589,730,0.032,-27.893,0.0072852,0.1338724,0,3,"6/19/13 9:00","EL","DeepHole","Hypo","8",140,"",0.052037143,0.956231429,"2013-06-19 09:00:00","2013-06-19 00:00:00",1.5414468,1.11458163350262e-05,5.20111372884986e-07,4.97674361540697e-08,223.958017457863,21.4296724049734,10.4508371955274
"34",34,"P-0708",NA,NA,1.332,173,1.321,2.462,0,6.097,6.001,0,485,601,0.026,-26.718,0.0101224,0.1111684,0,3,"6/19/13 8:15","WL","DeepHole","PML","0-1.5",200,"",0.050612,0.555842,"2013-06-19 08:15:00","2013-06-19 00:00:00",0.908154,9.25554908000999e-06,7.22667237809667e-07,2.93208278177768e-08,315.664657817011,12.8074839923042,24.6468906778793
"35",35,"P-0709",NA,NA,2.079,290,2.064,-1.481,0,8.838,8.7,0,708,879,0.038,-31.206,0.0162478,0.1583136,0,3,"6/19/13 8:15","WL","DeepHole","Hypo","8",200,"",0.081239,0.791568,"2013-06-19 08:15:00","2013-06-19 00:00:00",3.6270276,1.31807176754642e-05,1.15997715428e-06,1.17102883156297e-07,112.556730630379,11.3629114391011,9.90562420851568
