"","lakeID","dateSample","depthClass","filterVol","sampleType","sampleAmount","POC","PON","flag","uniqueID","particulateP.ugL","Cmol","Nmol","Pmol","CP","CN","NP"
"125","EL","2011-07-27 0:00:00","PML",100,"filter","2.00",0.44,0.05,0,"EL.2011-07-27 0:00:00.PML",15.01,3.66330863375239e-06,3.56964374955379e-07,4.84615632970652e-08,75.5920441793557,10.262392806594,7.3659277718141
"126","EL","2011-07-27 0:00:00","Hypo",100,"filter","2.00",0.73,0.08,0,"EL.2011-07-27 0:00:00.Hypo",18.82,6.07776205145283e-06,5.71142999928607e-07,6.07625996835954e-08,100.024720520536,10.6414016318375,9.39958136917575
"127","WL","2011-07-27 0:00:00","PML",100,"filter","2.00",0.41,0.04,0,"WL.2011-07-27 0:00:00.PML",18.01,3.413537590542e-06,2.85571499964304e-07,5.81474187195299e-08,58.704886058777,11.9533552576805,4.91116383586584
"128","WL","2012-05-16 0:00:00","PML",200,"filter","",0.49,0.04,0,"WL.2012-05-16 0:00:00.PML",6.41,8.15918741153942e-06,5.71142999928607e-07,4.13908888386659e-08,197.125204132301,14.2857172591791,13.7987614171519
"129","WL","2012-05-16 0:00:00","Hypo",150,"filter","",0.77,0.06,0,"WL.2012-05-16 0:00:00.Hypo",15.1,9.61618516360003e-06,6.42535874919683e-07,7.31282084396087e-08,131.497617250412,14.9659895096162,8.78642986926593
"130","EL","2012-05-16 0:00:00","Hypo",150,"filter","",0.66,0.06,0,"EL.2012-05-16 0:00:00.Hypo",11.08,8.24244442594289e-06,6.42535874919683e-07,5.36596390404546e-08,153.606035622581,12.8279910082424,11.9742861936747
"136","WL","2012-05-23 0:00:00","PML",200,"filter","",0.47,0.06,0,"WL.2012-05-23 0:00:00.PML",6.53,7.82615935392557e-06,8.56714499892911e-07,4.21657572724631e-08,185.604619961054,9.13508450586962,20.3177781050407
"137","EL","2012-05-23 0:00:00","PML",200,"filter","",0.63,0.06,0,"EL.2012-05-23 0:00:00.PML",6.12,1.04903838148364e-05,8.56714499892911e-07,3.95182901236561e-08,265.456419850431,12.2449005078678,21.6789364421431
"138","WL","2012-05-23 0:00:00","Hypo",150,"filter","",0.89,0.09,0,"WL.2012-05-23 0:00:00.Hypo",15.33,1.11148114228624e-05,9.63803812379524e-07,7.42420818131921e-08,149.71039539044,11.5322343407432,12.9819071453929
"139","EL","2012-05-23 0:00:00","Hypo",150,"filter","",0.92,0.1,0,"EL.2012-05-23 0:00:00.Hypo",12.81,1.1489467987678e-05,1.07089312486614e-06,6.20379039808866e-08,185.200776467525,10.7288652068937,17.2619166049851
"144","WL","2012-05-30 0:00:00","PML",200,"filter","",0.61,0.07,0,"WL.2012-05-30 0:00:00.PML",7.02,1.01573557572225e-05,9.99500249875063e-07,4.53298033771349e-08,224.076766288073,10.1624344351012,22.0495165522652
"145","WL","2012-05-30 0:00:00","Hypo",150,"filter","",0.77,0.07,0,"WL.2012-05-30 0:00:00.Hypo",16.08,9.61618516360003e-06,7.49625187406297e-07,7.78742775966164e-08,123.483458985151,12.8279910082424,9.62609491274264
"146","EL","2012-05-30 0:00:00","PML",200,"filter","",1.11,0.05,0,"EL.2012-05-30 0:00:00.PML",4.86,1.84830571975689e-05,7.13928749910759e-07,3.13821715687857e-08,588.966801008541,25.8892182166348,22.749501204718
"147","EL","2012-05-30 0:00:00","Hypo",150,"filter","",0.99,0.1,0,"EL.2012-05-30 0:00:00.Hypo",14.77,1.23636666389143e-05,1.07089312486614e-06,7.1530042294902e-08,172.845789576662,11.5451919074182,14.9712357284942
"148","WL","2012-06-06 0:00:00","PML",200,"filter","",0.53,0.04,0,"WL.2012-06-06 0:00:00.PML",7.47,8.82524352676713e-06,5.71142999928607e-07,4.82355600038743e-08,182.961357265434,15.4518982599284,11.8407042414918
"149","WL","2012-06-06 0:00:00","Hypo",200,"filter","",0.83,0.09,0,"WL.2012-06-06 0:00:00.Hypo",14.83,1.38206643909749e-05,1.28507174983937e-06,9.57608239434346e-08,144.324827438188,10.7547803402437,13.4195978785484
"150","EL","2012-06-06 0:00:00","PML",200,"filter","",0.62,0.06,0,"EL.2012-06-06 0:00:00.PML",4.49,1.03238697860295e-05,8.56714499892911e-07,2.89929938979111e-08,356.08153550411,12.0505370077429,29.5490180458609
"151","EL","2012-06-06 0:00:00","Hypo",150,"filter","",0.94,0.1,0,"EL.2012-06-06 0:00:00.Hypo",18.86,1.17392390308884e-05,1.07089312486614e-06,9.13376166338424e-08,128.525786675046,10.9621014070435,11.7245573547115
"152","WL","2012-06-13 0:00:00","PML",200,"filter","",0.3,0.02,0,"WL.2012-06-13 0:00:00.PML",5.45,4.99542086420781e-06,2.85571499964304e-07,3.51919413682885e-08,141.947862777164,17.4927150112397,8.11468446641686
"153","WL","2012-06-13 0:00:00","Hypo",150,"filter","",0.67,0.07,0,"WL.2012-06-13 0:00:00.Hypo",11,8.36732994754808e-06,7.49625187406297e-07,5.3272204823556e-08,157.067460888125,11.1620181500291,14.0716005633547
