lakeID,dateSample,count
EL,8/8/12,43
EL,7/11/12,39
EL,7/18/12,52
EL,7/25/12,35
EL,8/1/12,48
EL,6/27/12,106
EL,5/16/12,61
EL,5/22/12,42
EL,5/30/12,146
EL,6/6/12,8
EL,6/13/12,95
EL,6/20/12,42
WL,7/11/12,201
WL,7/18/12,154
WL,7/25/12,210
WL,8/1/12,63
WL,8/8/12,45
WL,6/27/12,278
WL,5/16/12,82
WL,5/22/12,43
WL,5/30/12,194
WL,6/6/12,7
WL,6/13/12,223
WL,6/20/12,63
