Project ID,Isotope ID,Date time,Lake ID,Tow type ,Depth (m),Taxa,Sample metadataID,Comments 
16,Z-0310,7/26/13 11:30,HB,vertical,0-1,all zoops,,
16,Z-0311,7/26/13 11:30,HB,schindler,3.5,chaoborus,,
16,Z-0312,7/29/13 11:00,RE,vertical,0-0.5,all zoops,,
16,Z-0313,7/29/13 11:00,RE,schindler,3,all zoops,,
16,Z-0314,7/30/13 13:30,TU,vertical,0-6,all pelagic,,
16,Z-0315,7/30/13 13:30,TU,vertical,0-6,all zoops,,
16,Z-0316,7/31/13 11:00,CB,vertical,0-0.5,all zoops,,
16,Z-0317,7/31/13 11:00,CB,schindler,4,all zoops,,
16,Z-0318,7/31/13 11:00,CB,schindler,4,chaoborus,,
16,Z-0319,8/1/13 11:15,RS,vertical,0-0.5,all zoops,,
16,Z-0320,8/1/13 11:15,RS,schindler,3.5,all zoops,,
16,Z-0321,8/1/13 11:15,RS,schindler,3.5,chaoborus,,
16,Z-0322,8/2/13 11:30,DW,vertical,0-1,all zoops,,
16,Z-0323,8/2/13 11:30,DW,schindler,4.5,all zoops,,
16,Z-0324,8/12/13 10:15,HB,vertical,0-0.5,all zoops,,
16,Z-0325,8/12/13 10:15,HB,schindler,3.5,all zoops,,
16,Z-0326,8/12/13 12:45,BA,vertical,0-2.5,all zoops,,
16,Z-0327,8/12/13 12:45,BA,schindler,3.5,all zoops,,
16,Z-0328,8/12/13 15:25,RB,vertical,0-2,all zoops,,
16,Z-0329,8/12/13 15:25,RB,schindler,3.5,all zoops,,
16,Z-0330,8/12/13 10:15,HB,vertical,0-3.5,chaoborus,,
16,Z-0331,8/13/13 13:40,RS,vertical,0-1.5,all zoops,,
16,Z-0332,8/13/13 13:40,RS,schindler,3,all zoops
16,Z-0333,8/13/13 14:10,DW,vertical,0-2,all zoops
16,Z-0334,8/13/13 14:10,DW,schindler,3,all zoops
16,Z-0335,8/15/13 12:00,CB,vertical,0-1.5,all zoops
16,Z-0336,8/15/13 12:00,CB,vertical,0-4,chaoborus
16,Z-0337,8/15/13 15:05,TU,vertical,0-10.5,all zoops
3,Z-0338,8/15/13 9:30,WL,vertical,0-2,daphnia
3,Z-0339,8/15/13 9:30,WL,vertical,0-2,holopedium
3,Z-0340,8/15/13 9:30,WL,vertical,0-2,chaoborus
3,Z-0341,8/15/13 10:10,EL,vertical,0-2,daphnia
3,Z-0342,8/15/13 10:10,EL,vertical,0-2,holopedium
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,
