"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgN","mgC","flag","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP","year"
"11",11,"P-0592",NA,NA,1.618,219,1.606,0.429,0,7.092,6.981,0,630,786,0.03,-32.312,0.0150148,0.1378468,0,3,"05/22/2013","WL","DeepHole","Hypo","10",140,"",0.107248571,0.98462,0.606741,1.14767130130714e-05,1.07194973941601e-06,1.95893520162722e-08,585.864861866693,10.7063909725131,54.7210412332972,"2013"
"12",12,"P-0593",NA,NA,3.387,453,3.362,1.746,0,11.741,11.556,0,1039,1291,0.05,-28.875,0.0302282,0.2210639,0,3,"05/22/2013","EL","DeepHole","PML","0-1",140,"",0.215915714,1.579027857,1.641645,1.84051203063858e-05,2.15807810380524e-06,5.30024537500404e-08,347.250344166789,8.528477386399,40.7165697268043,"2013"
"13",13,"P-0594",NA,NA,1.679,225,1.667,-1.216,0,7.65,7.53,0,681,852,0.033,-33.073,0.0155394,0.147835,0,3,"05/22/2013","EL","DeepHole","Hypo","10",150,"",0.103596,0.985566667,1.535253,1.2308300724336e-05,1.10940244163632e-06,4.95674619830175e-08,248.314120431525,11.0945318510222,22.381667272301,"2013"
"14",14,"P-0597",NA,NA,2.012,257,1.996,-0.272,0,8.211,8.082,0,703,876,0.035,-30.016,0.0184032,0.1578769,0,15,"05/22/2013","EL","Outlet","Surface","0",180,"",0.10224,0.877093889,1.544925,1.31443593372742e-05,1.31385735703577e-06,4.98797339618377e-08,263.521039373039,10.0044036492131,26.3405045031111,"2013"
"15",15,"P-0598",NA,NA,0.564,68,0.56,3.176,0,3.724,3.665,0,332,413,0.016,-26.636,0.0059504,0.0775596,0,15,"05/22/2013","EL","Inlet","Surface","0",180,"",0.033057778,0.430886667,0.635757,6.45738073432687e-06,4.24816163346898e-07,2.0526167952733e-08,314.592609258421,15.2004120640153,20.6963211216604,"2013"
"16",16,"P-0622",NA,NA,1.048,139,1.04,1.913,0,4.965,4.887,0,443,553,0.021,-29.086,0.0101128,0.0997735,0,15,"05/29/2013","EL","Outlet","Surface","0",140,"",0.072234286,0.712667857,1.4312508,8.30684372658397e-06,7.21981866209752e-07,4.62096277402899e-08,179.76435069485,11.5056126966084,15.6240571827905,"2013"
"17",17,"P-0623",NA,NA,0.611,80,0.606,0.798,0,4.097,4.032,0,373,465,0.018,-26.122,0.0063546,0.0842363,0,15,"05/29/2013","EL","Inlet","Surface","0",140,"",0.04539,0.601687857,0.4383204,7.01326284239447e-06,4.53673163418291e-07,1.41516934103897e-08,495.577641418205,15.4588444014445,32.0578711156376,"2013"
"18",18,"P-0624",NA,NA,1.711,218,1.698,1.739,0,9.915,9.758,0,879,1092,0.043,-25.788,0.0158146,0.1883785,0,3,"05/29/2013","WL","DeepHole","PML","0-1.5",140,"",0.112961429,1.345560714,0.4732476,1.56838314878029e-05,1.12904976083387e-06,1.52793594420947e-08,1026.4717933524,13.8911782561465,73.8937888798748,"2013"
"19",19,"P-0625",NA,NA,1.379,169,1.369,0.808,0,9.733,9.579,0,844,1050,0.042,-28.263,0.0129594,0.1851207,0,3,"05/29/2013","WL","DeepHole","Hypo","8",140,"",0.092567143,1.322290714,2.4940356,1.54125967862792e-05,9.25208824159349e-07,8.05228941336002e-08,191.406393822697,16.6585060408208,11.4900095695055,"2013"
"20",20,"P-0626",NA,NA,1.956,248,1.942,1.48,0,10.115,9.956,0,882,1091,0.043,-26.245,0.0179216,0.1919585,0,3,"05/29/2013","EL","DeepHole","PML","0-2",150,"",0.119477333,1.279723333,1.3214796,1.59818915993672e-05,1.27947454844007e-06,4.26655344977884e-08,374.585524064996,12.4909804722981,29.9884804796337,"2013"
"21",21,"P-0627",NA,NA,1.231,151,1.221,0.087,0,6.314,6.214,0,554,690,0.027,-28.685,0.0116866,0.1239206,0,3,"05/29/2013","EL","DeepHole","Hypo","8",NA,"vol not recorded",NA,NA,1.1967396,1.03172591790858e-05,8.34339972870708e-07,3.86381558131276e-08,267.022557416689,12.3657735630085,21.5936800116955,"2013"
"22",22,"P-0656",NA,NA,0.911,124,0.904,0.816,0,4.626,4.553,0,422,526,0.02,-27.798,0.0089346,0.0937054,0,3,"06/05/2013","WL","DeepHole","PML","0-2",140,"",0.063818571,0.669324286,0.468258,7.80163183748231e-06,6.37866780895267e-07,1.51182642947083e-08,516.040180631916,12.2308169529262,42.1917998297287,"2013"
"23",23,"P-0657",NA,NA,1.79,242,1.776,1.467,0,8.018,7.892,0,726,906,0.034,-30.368,0.016494,0.1544222,0,3,"06/05/2013","WL","DeepHole","Hypo","8",140,"",0.117814286,1.103015714,2.2844724,1.28567313296145e-05,1.17755408010281e-06,7.375689794337e-08,174.312256725952,10.9181663473936,15.9653417231148,"2013"
"24",24,"P-0658",NA,NA,1.551,198,1.539,0.281,0,6.273,6.174,0,561,699,0.027,-28.807,0.0144386,0.1231867,0,3,"06/05/2013","EL","DeepHole","PML","0-1.5",180,"",0.080214444,0.684370556,1.1717916,1.02561568562151e-05,1.03081316484615e-06,3.78326800761954e-08,271.092527295426,9.94957884317077,27.2466334071517,"2013"
"25",25,"P-0659",NA,NA,1.211,163,1.202,1.434,0,5.863,5.771,0,530,662,0.025,-30.281,0.0115146,0.1158477,0,3,"06/05/2013","EL","DeepHole","Hypo","8",140,"",0.082247143,0.827483571,1.1817708,9.64513362750812e-06,8.22060398372242e-07,3.81548703709683e-08,252.789055072954,11.7328771056317,21.5453594883064,"2013"
"26",26,"P-0660",NA,NA,3.342,446,3.316,1.111,0,14.395,14.169,0,1264,1573,0.062,-31.949,0.0298412,0.2685705,0,3,"06/05/2013","EL","Outlet","Surface","0",100,"",0.298412,2.685705,3.037902,2.23603779868454e-05,2.13044906118369e-06,9.80822651987214e-08,227.9757501679,10.4956172828755,21.721042605075,"2013"
"27",27,"P-0661",NA,NA,0.79,101,0.784,2.295,0,7.055,6.944,0,643,798,0.03,-25.105,0.007894,0.1371845,0,3,"06/05/2013","EL","Inlet","Surface","0",180,"",0.043855556,0.762136111,0.518154,1.14215718924319e-05,5.63575355179553e-07,1.67292157685726e-08,682.732056925729,20.2662728017854,33.6880917178605,"2013"
"28",28,"P-0680",NA,NA,0.954,119,0.947,-0.389,0,4.426,4.356,0,398,497,0.019,-28.078,0.0093044,0.0901254,0,3,"06/12/2013","EL","DeepHole","PML","0-1",200,"",0.046522,0.450627,0.7843524,7.50357172591791e-06,6.64267866066967e-07,2.53237464888774e-08,296.30575117365,11.2960028765887,26.2310265330892,"2013"
"29",29,"P-0681",NA,NA,0.93,125,0.923,2.174,0,5.652,5.563,0,517,645,0.024,-28.06,0.009098,0.1120708,0,3,"06/12/2013","EL","DeepHole","Hypo","8",140,"",0.064985714,0.800505714,0.83673,9.33068020980768e-06,6.49532376668808e-07,2.70148193587964e-08,345.391175335381,14.3652272695951,24.0435580205837,"2013"
"30",30,"P-0684",NA,NA,0.834,117,0.828,1.616,0,4.587,4.515,0,371,460,0.02,-27.575,0.0060388,0.0851964,0,3,"06/12/2013","WL","DeepHole","PML","0-1",200,"",0.030194,0.425982,0.6843588,7.09319790192324e-06,4.31127293496109e-07,2.20953346463048e-08,321.026950506472,16.4526765271641,19.5121413817649,"2013"
"31",31,"P-0685",NA,NA,2.125,279,2.109,-0.691,0,9.852,9.697,0,781,970,0.042,-31.751,0.016625,0.1757544,0,3,"06/12/2013","WL","DeepHole","Hypo","8",180,"",0.092361111,0.976413333,3.3318084,1.46327866122721e-05,1.18690654672664e-06,1.07571381525845e-07,136.028620295784,12.3285077941711,11.0336646224207,"2013"
"32",32,"P-0706",NA,NA,1.111,146,1.103,0.671,0,5.776,5.685,0,463,574,0.025,-27.344,0.0083102,0.1056472,0,3,"06/19/2013","EL","DeepHole","PML","0-1.5",180,"",0.046167778,0.586928889,0.8319684,8.79587045208559e-06,5.93289069750839e-07,2.6861085461531e-08,327.457744203322,14.8256067750912,22.0873080725094,"2013"
"33",33,"P-0707",NA,NA,0.986,125,0.979,0.124,0,7.417,7.301,0,589,730,0.032,-27.893,0.0072852,0.1338724,0,3,"06/19/2013","EL","DeepHole","Hypo","8",140,"",0.052037143,0.956231429,1.5414468,1.11458163350262e-05,5.20111372884986e-07,4.97674361540697e-08,223.958017457863,21.4296724049734,10.4508371955274,"2013"
"34",34,"P-0708",NA,NA,1.332,173,1.321,2.462,0,6.097,6.001,0,485,601,0.026,-26.718,0.0101224,0.1111684,0,3,"06/19/2013","WL","DeepHole","PML","0-1.5",200,"",0.050612,0.555842,0.908154,9.25554908000999e-06,7.22667237809667e-07,2.93208278177768e-08,315.664657817011,12.8074839923042,24.6468906778793,"2013"
"35",35,"P-0709",NA,NA,2.079,290,2.064,-1.481,0,8.838,8.7,0,708,879,0.038,-31.206,0.0162478,0.1583136,0,3,"06/19/2013","WL","DeepHole","Hypo","8",200,"",0.081239,0.791568,3.6270276,1.31807176754642e-05,1.15997715428e-06,1.17102883156297e-07,112.556730630379,11.3629114391011,9.90562420851568,"2013"
"36",36,"P-0710",NA,NA,0.602,77,0.597,-0.22,0,7.059,6.948,0,567,701,0.03,-25,0.0041364,0.1277148,0,3,"06/19/2013","EL","Inlet","Surface","0",280,"",0.014772857,0.456124286,0.4748484,1.06331529431355e-05,2.95309488113086e-07,1.5331043166629e-08,693.570087016687,36.0068110614298,19.2621914179907,"2013"
"37",37,"P-0711",NA,NA,1.613,212,1.6,1.202,0,8.805,8.666,0,703,870,0.038,-26.553,0.0124266,0.157746,0,3,"06/19/2013","EL","Outlet","Surface","0",180,"",0.069036667,0.876366667,0.9033924,1.31334609940888e-05,8.87170700364104e-07,2.91670939205114e-08,450.283495156602,14.8037587227561,30.4168355881424,"2013"
"38",38,"P-0736",NA,NA,1.242,165,1.233,0.46,0,4.782,4.706,0,383,476,0.02,-27.851,0.0093844,0.0885504,0,3,"06/26/2013","WL","DeepHole","PML","0-1",200,"",0.046922,0.442752,0.6043956,7.37244192823245e-06,6.69979296066253e-07,1.95136279985794e-08,377.809904379092,11.0039847074669,34.3339176146551,"2013"
"39",39,"P-0737",NA,NA,2.197,291,2.181,-0.918,0,7.482,7.365,0,597,743,0.032,-32.221,0.0172154,0.1349904,0,3,"06/26/2013","WL","DeepHole","Hypo","8",200,"",0.086077,0.674952,2.9579292,1.12388976771293e-05,1.22905690012137e-06,9.55002486036225e-08,117.684486076856,9.14432657757299,12.8696722583688,"2013"
"40",40,"P-0738",NA,NA,1.686,228,1.673,0.812,0,6.385,6.285,0,513,633,0.027,-28.332,0.0130252,0.116122,0,3,"06/26/2013","EL","DeepHole","PML","0-0.5",200,"",0.065126,0.58061,NA,9.66797102655899e-06,9.29906475333762e-07,NA,NA,10.3967133072054,NA,"2013"
"41",41,"P-0739",NA,NA,1.682,223,1.669,-0.772,0,7.315,7.2,0,584,724,0.031,-30.643,0.0129924,0.132118,0,3,"06/26/2013","EL","DeepHole","Hypo","8",170,"",0.076425882,0.777164706,1.8011076,1.09997502289568e-05,9.27564789034054e-07,5.81508927130081e-08,189.158750893883,11.8587406065852,15.9509982694825,"2013"
"42",42,"P-0741",NA,NA,1.093,144,1.085,-0.171,0,5.897,5.805,0,473,587,0.025,-26.781,0.0081626,0.1077284,0,3,"06/26/2013","EL","Outlet","Surface","0",170,"",0.048015294,0.633696471,0.9634092,8.96914495046208e-06,5.82751481402156e-07,3.1104807412908e-08,288.352370467982,15.391029000701,18.735093700028,"2013"
"43",43,"P-0766",NA,NA,1.03,135,1.023,0.123,0,5.582,5.494,0,446,553,0.024,-27.442,0.007646,0.1023104,0,3,"07/03/2013","WL","DeepHole","PML","0-1.5",200,"",0.03823,0.511552,NA,8.51805844642411e-06,5.45869922181766e-07,NA,NA,15.6045572402645,NA,"2013"
"44",44,"P-0767",NA,NA,1.974,261,1.959,-0.782,0,8.545,8.411,0,679,844,0.037,-31.354,0.0153868,0.153274,0,3,"07/03/2013","WL","DeepHole","Hypo","8",160,"",0.0961675,0.9579625,3.1523949,1.27611356256765e-05,1.09850788891269e-06,1.01778804119717e-07,125.381072572499,11.6167901518737,10.7930909427917,"2013"
"45",45,"P-0768",NA,NA,1.682,219,1.669,1.545,0,6.822,6.715,0,545,675,0.029,-28.035,0.0129924,0.1236384,0,3,"07/03/2013","EL","DeepHole","PML","0-1",180,"",0.07218,0.68688,1.0880667,1.02937640496212e-05,9.27564789034054e-07,3.51295224873277e-08,293.023170278915,11.0976226904224,26.4041388370325,"2013"
"46",46,"P-0769",NA,NA,1.174,157,1.165,0.613,0,6.851,6.744,0,546,677,0.029,-29.334,0.0088268,0.1241372,0,3,"07/03/2013","EL","DeepHole","Hypo","8",140,"",0.063048571,0.886694286,1.6963953,1.03352926484056e-05,6.30170628971229e-07,5.47701320504956e-08,188.703080702397,16.4007844435376,11.5057350672487,"2013"
"47",47,"P-0770",NA,NA,0.575,75,0.57,2.356,0,4.753,4.678,0,379,469,0.02,-24.983,0.003915,0.0880516,0,3,"07/03/2013","EL","Inlet","Surface","0",200,"",0.019575,0.440258,NA,7.33091332944801e-06,2.79503105590062e-07,NA,NA,26.228378800914,NA,"2013"
"48",48,"P-0771",NA,NA,0.844,112,0.837,2.23,0,5.968,5.874,0,479,593,0.026,-26.343,0.0061208,0.1089496,0,3,"07/03/2013","EL","Outlet","Surface","0",180,"",0.034004444,0.605275556,1.1229708,9.07081841645159e-06,4.36981509245377e-07,3.62564427081652e-08,250.185008205694,20.7578998757086,12.052520231031,"2013"
"49",49,"P-0789",NA,NA,1.403,184,1.392,-1.174,0,5.92,5.827,0,476,588,0.025,-28.834,0.0107046,0.108124,0,3,"07/10/2013","WL","DeepHole","PML","0-1.5",200,"",0.053523,0.54062,NA,9.00208142536009e-06,7.64232169629471e-07,NA,NA,11.7792495305774,NA,"2013"
"50",50,"P-0790",NA,NA,2.462,313,2.443,-0.825,0,8.271,8.141,0,654,812,0.035,-30.673,0.0193884,0.1485612,0,3,"07/10/2013","WL","DeepHole","Hypo","8",175,"",0.110790857,0.848921143,2.4792444,1.23687619681958e-05,1.38419361747698e-06,8.0045342717851e-08,154.521944041067,8.93571665988524,17.2926190391372,"2013"
"51",51,"P-0791",NA,NA,3.06,397,3.037,0.684,0,10.699,10.531,0,849,1052,0.046,-29.589,0.024292,0.1903228,1,3,"07/10/2013","EL","DeepHole","PML","0-1.5",180,"",0.134955556,1.057348889,2.5141485,1.58457081009075e-05,1.73427571928322e-06,8.11722629386885e-08,195.2108704038,9.13678714677307,21.3653735462957,"2013"
"52",52,"P-0792",NA,NA,3.571,462,3.544,2.084,0,11.046,10.873,0,876,1084,0.047,-28.464,0.0284822,0.1962912,1,3,"07/10/2013","EL","DeepHole","Hypo","8",NA,"volume not recorded",NA,NA,2.9579292,1.63426192656731e-05,2.03342614407082e-06,9.55002486036225e-08,171.126457832626,8.03698689196353,21.292364928919,"2013"
"53",53,"P-0793",NA,NA,0.733,92,0.728,-1.038,0,4.899,4.822,0,388,481,0.021,-25.196,0.0052106,0.0905628,1,3,"07/10/2013","EL","Inlet","Surface","0",200,"",0.026053,0.452814,0.6293271,7.53998834401798e-06,3.719997144285e-07,2.03185710134633e-08,371.088514985719,20.2688014306721,18.3083600801458,"2013"
"54",54,"P-0794",NA,NA,2.815,371,2.794,2.09,0,9.261,9.115,0,737,909,0.039,-27.508,0.02402,0.1700892,0,3,"07/10/2013","EL","Outlet","Surface","0",180,"",0.133444444,0.94494,1.6565049,1.41611189742736e-05,1.71485685728564e-06,5.34822232266813e-08,264.781793274608,8.25790147679642,32.0640533213685,"2013"
"55",55,"P-0822",NA,NA,1.164,146,1.156,0.434,0,7.476,7.358,0,593,733,0.032,-25.574,0.010812,0.1393872,0,3,"07/17/2013","EL","Inlet","Surface","0",200,"",0.05406,0.696936,1.0669941,1.16049621180584e-05,7.71899764403513e-07,3.44491686307429e-08,336.872051759822,15.0342863843549,22.4069199659773,"2013"
"56",56,"P-0823",NA,NA,1.54,193,1.528,-0.798,0,9.688,9.535,0,761,942,0.041,-28.194,0.01382,0.1774336,0,3,"07/17/2013","EL","Outlet","Surface","0",140,"",0.098714286,1.267382857,2.2565763,1.47725917908584e-05,9.86649532376669e-07,7.28562393052013e-08,202.76357840781,14.9724814192875,13.5424164324967,"2013"
"57",57,"P-0855",NA,NA,0.96,118,0.953,-0.283,0,5.149,5.068,0,405,504,0.022,-30.121,0.00918,0.0993628,0,3,"07/25/2013","EL","DeepHole","PML","0-1",140,"",0.065571429,0.709734286,1.2120651,8.27265007076846e-06,6.55386592418077e-07,3.91329577373842e-08,211.398538446418,12.6225500589601,16.7476886571234,"2013"
"58",58,"P-0856",NA,NA,1.269,157,1.259,-3.227,0,6.009,5.914,0,475,592,0.026,-31.177,0.011652,0.1141548,0,3,"07/25/2013","EL","DeepHole","Mete","4",170,"",0.068541176,0.671498824,1.8407061,9.5041878278245e-06,8.31869779396016e-07,5.94293771994963e-08,159.924069133692,11.4250908774749,13.9976189991617,"2013"
"59",59,"P-0857",NA,NA,0.712,84,0.706,-0.934,0,5.411,5.326,0,425,528,0.023,-25.121,0.007196,0.1038692,0,3,"07/25/2013","EL","Inlet","Surface","0",180,"",0.039977778,0.577051111,0.8252091,8.64783948047623e-06,5.13743128435782e-07,2.66428534530075e-08,324.583832423552,16.8330027241566,19.2825865796214,"2013"
"60",60,"P-0858",NA,NA,1.526,198,1.514,-1.901,0,10.607,10.44,0,841,1045,0.045,-29.227,0.013708,0.1932404,0,3,"07/25/2013","EL","Outlet","Surface","0",50,"",0.27416,3.864808,1.777842,1.6088618766131e-05,9.78653530377668e-07,5.73997352532851e-08,280.290818331087,16.4395450143856,17.0497917117424,"2013"
"61",61,"P-0899",NA,NA,1.318,164,1.308,-0.801,0,6.671,6.566,0,525,654,0.029,-30.046,0.012044,0.1255412,0,3,"07/31/2013","WL","DeepHole","PML","0-1",200,"",0.06022,0.627706,1.3716432,1.04521854966281e-05,8.59855786392518e-07,4.42851257546896e-08,236.020228428983,12.1557424652333,19.4163564343376,"2013"
"62",62,"P-0900",NA,NA,1.198,156,1.189,-1.524,0,6.475,6.373,0,509,635,0.028,-32.092,0.011084,0.12217,0,3,"07/31/2013","WL","DeepHole","Hypo","8",140,"",0.079171429,0.872642857,2.3194404,1.01715094496711e-05,7.91318626401085e-07,7.48858812514125e-08,135.826797784786,12.853873408656,10.5669935797966,"2013"
"63",63,"P-0901",NA,NA,7.189,938,7.135,0.965,0,22.84,22.481,0,1799,2207,0.097,-25.241,0.059012,0.403648,0,3,"07/31/2013","EL","DeepHole","PML","0-1",180,"",0.327844444,2.242488889,1.4296716,3.36065273499292e-05,4.21303633897337e-06,4.61586413973461e-08,728.065782106435,7.97679503474647,91.2729710284671,"2013"
"64",64,"P-0902",NA,NA,0.962,118,0.955,-2.264,0,6.071,5.975,0,467,579,0.026,-31.396,0.009196,0.1152212,0,3,"07/31/2013","EL","DeepHole","Hypo","8",180,"",0.051088889,0.640117778,2.1888765,9.59297310798435e-06,6.56528878417934e-07,7.06704710554354e-08,135.742311671581,14.6116544501454,9.29000286276483,"2013"
"65",65,"P-0903",NA,NA,NA,NA,NA,NA,NA,3.843,3.782,0,300,374,0.017,-25.505,NA,0.0768996,0,3,"07/31/2013","EL","Inlet","Surface","0",200,"no N peak",NA,0.384498,0.5544099,6.40243110482058e-06,NA,1.78997804539438e-08,357.68210237517,NA,NA,"2013"
"66",66,"P-0904",NA,NA,1.088,139,1.08,0.471,0,8.604,8.469,0,681,849,0.037,-29.043,0.010204,0.1587888,0,3,"07/31/2013","EL","Outlet","Surface","0",120,"",0.085033333,1.32324,1.4103288,1.32202814087087e-05,7.28492896408938e-07,4.55341361831272e-08,290.337810638153,18.1474403853178,15.9988298334928,"2013"
"67",67,"P-0931",NA,NA,0.92,114,0.913,-1.625,0,5.532,5.445,0,437,545,0.024,-29.341,0.00886,0.1059504,0,3,"08/06/2013","WL","DeepHole","PML","0-2",200,"",0.0443,0.529752,0.5894979,8.82111397885272e-06,6.32540872420932e-07,1.90326381041552e-08,463.473005191376,13.9455240972675,33.2345347481196,"2013"
"68",68,"P-0932",NA,NA,0.879,103,0.873,-3.773,0,6.707,6.601,0,510,639,0.029,-32.292,0.008532,0.1261604,0,3,"08/06/2013","WL","DeepHole","Hypo","8",140,"",0.060942857,0.901145714,2.2473123,1.05037382399467e-05,6.09124009423859e-07,7.25571400897556e-08,144.765053128517,17.2440062736678,8.39509397242439,"2013"
"69",69,"P-0933",NA,NA,NA,NA,NA,NA,NA,3.47,3.416,0,268,336,0.015,-29.904,NA,0.070484,0,3,"08/06/2013","EL","DeepHole","PML","0-1.5",140,"no N peak",NA,0.503457143,0.6695628,5.86828740321372e-06,NA,2.16176282568689e-08,271.458428902769,NA,NA,"2013"
"70",70,"P-0934",NA,NA,0.607,71,0.602,-2.866,0,5.46,5.375,0,416,521,0.024,-31.035,0.006356,0.104712,0,3,"08/06/2013","EL","DeepHole","Hypo","8",140,"",0.0454,0.747942857,1.5502767,8.71800849221547e-06,4.53773113443278e-07,5.00525199367191e-08,174.177214318831,19.2122632080651,9.06593941757537,"2013"
"71",71,"P-0935",NA,NA,0.725,82,0.72,4.509,0,6.298,6.198,0,490,610,0.027,-24.855,0.0073,0.1191256,0,3,"08/06/2013","EL","Inlet","Surface","0",280,"",0.026071429,0.425448571,0.7637568,9.91804179502123e-06,5.21167987434854e-07,2.46587931424144e-08,402.211160040988,19.0304125236798,21.1351782070153,"2013"
"72",72,"P-0936",NA,NA,0.583,63,0.578,-3.05,0,7.536,7.417,0,541,676,0.032,-28.347,0.006164,0.1404192,0,3,"08/06/2013","EL","outlet","Surface","0",90,"",0.068488889,1.560213333,1.5314379,1.16908833569228e-05,4.40065681444992e-07,4.944428695961e-08,236.445585037415,26.5662237476343,8.90023314128227,"2013"
"73",73,"P-0953",NA,NA,NA,NA,NA,NA,NA,3.853,3.792,0,275,343,0.016,-29.149,NA,0.0770716,0,3,"08/14/2013","WL","DeepHole","PML","0-2",140,"no N peak",NA,0.550511429,0.9568545,6.41675131129798e-06,NA,3.08931811577826e-08,207.707690526441,NA,NA,"2013"
"74",74,"P-0954",NA,NA,NA,NA,NA,NA,NA,4.544,4.472,0,295,370,0.02,-31.609,NA,0.0889568,1,3,"08/14/2013","WL","DeepHole","Hypo","8",140,"sample didn’t combust",NA,0.635405714,1.9835691,7.40627757888602e-06,NA,6.40418784102283e-08,115.647413266741,NA,NA,"2013"
"75",75,"P-0955",NA,NA,NA,NA,NA,NA,NA,2.289,2.252,0,108,136,0.01,-30.221,NA,0.0501708,1,3,"08/14/2013","EL","DeepHole","PML","0-2",140,"sample didn’t combust",NA,0.358362857,0.8485314,4.17707101823329e-06,NA,2.73958415394053e-08,152.470987694432,NA,NA,"2013"
"76",76,"P-0956",NA,NA,NA,NA,NA,NA,NA,2.678,2.635,0,124,156,0.012,-30.386,NA,0.0568616,1,3,"08/14/2013","EL","DeepHole","Hypo","8",140,"sample didn’t combust",NA,0.406154286,1.7386647,4.73412705020398e-06,NA,5.613484970781e-08,84.3349020233561,NA,NA,"2013"
"77",1,"P-0957",NA,NA,0.63,76,0.626,-1.321,0,3.785,3.726,0,310,387,0.016,-29.181,0.005055,0.0799815,0,3,"08/14/2013","EL","Inlet 1","Surface","0",200,"",0.025275,0.3999075,0.5047233,6.65902089751062e-06,3.60890983079889e-07,1.62955897071643e-08,408.6394550412,18.4516133949419,22.1465433019109,"2013"
