ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,%N,Area.All.C,Area.C.44,%C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C
4,4,#N/A,1.712,229,1.699,-3.303,0,6.95,6.84,0,567,703,0.03,-24.401
Z-0345,A1,#N/A,4.232,542,4.2,6.728,8.0173711,10.552,10.387,40.8636084,830,1033,0.045,-30.183
Z-0344,A2,#N/A,7.168,923,7.113,2.099,9.0321154,17.258,16.988,43.7528204,1360,1685,0.073,-30.503
DOC,A3,#N/A,1.798,220,1.785,3.71,2.5124033,5.416,5.33,15.6612297,433,534,0.023,-19.228
Z-0343,A4,#N/A,6.457,832,6.408,4.413,10.4190054,15.415,15.174,50.2567802,1213,1506,0.066,-31.21
Z-0359,A5,#N/A,5.627,720,5.584,3.932,8.8745942,14.548,14.321,46.4884137,1132,1409,0.062,-32.339
Z-0351,A6,#N/A,5.039,641,5,2.98,9.1817455,12.386,12.192,45.9415957,966,1199,0.053,-30.44
Z-0353,A7,#N/A,3.579,453,3.551,1.209,7.0601845,10.777,10.608,43.4868856,849,1057,0.046,-32.296
Z-0348,A8,#N/A,11.984,1542,11.892,2.704,9.7003314,27.693,27.26,43.9666367,2128,2622,0.118,-28.628
Z-0349,A9,#N/A,7.709,993,7.65,4.869,11.1985372,15.748,15.502,46.1149715,1218,1515,0.067,-31.77
Z-0363,A10,#N/A,12.669,1649,12.571,3.441,11.286258,28.705,28.256,50.0168285,2207,2725,0.122,-30.953
Z-0362,A11,#N/A,10.342,1346,10.263,3.723,11.0131757,23.067,22.706,48.6920752,1787,2213,0.098,-31.172
Z-0364,A12,#N/A,8.216,1026,8.153,2.293,9.617337,18.319,18.033,43.000103,1405,1745,0.078,-31.821
Z-0369,B1,#N/A,8.291,1050,8.227,1.515,10.4488544,16.985,16.72,43.0203611,1314,1627,0.072,-29.784
Z-0367,B2,#N/A,10.429,1320,10.349,2.701,9.3359494,23.762,23.391,42.1088249,1834,2271,0.101,-31.814
Z-0347,B3,#N/A,4.244,533,4.211,0.684,6.8884406,12.059,11.871,39.9116345,946,1177,0.051,-29.918
Z-0346,B4,#N/A,4.448,561,4.414,3.519,9.0683275,10.987,10.815,45.746737,856,1065,0.047,-30.526
Z-0365,B5,#N/A,7.774,999,7.714,4.429,9.5469968,19.277,18.976,47.4176558,1493,1854,0.082,-32.789
Z-0360,B6,#N/A,6.747,859,6.695,0.754,7.7391532,18.543,18.253,42.7223968,1435,1781,0.079,-31.023
Z-0361,B7,#N/A,4.61,586,4.574,2.731,8.643848,11.237,11.061,43.0039638,875,1090,0.048,-31.323
Z-0350,B8,#N/A,3.629,455,3.602,1.234,6.753072,10.553,10.388,40.1777936,824,1025,0.045,-30.722
Z-0366,B9,#N/A,6.143,795,6.096,3.436,11.1213594,13.478,13.267,49.4888811,1055,1311,0.057,-31.528
Z-0370,B10,#N/A,8.225,1066,8.162,3.827,7.0773061,17.3,17.03,29.9020185,1346,1670,0.074,-30.823
Z-0352,B11,#N/A,9.187,1183,9.116,5.138,10.8838847,20.325,20.007,48.0442981,1568,1943,0.086,-31.879
Z-0368,B12,#N/A,11.145,1401,11.059,2.309,9.0928831,26.453,26.04,42.4763423,2017,2498,0.112,-32.256
