Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z39,16,5/20/13,5/23/13,23:00,RB,Deephole,1.5,2,32
Z41,16,5/20/13,5/23/13,23:00,BR,Deephole,3.5,4,22
Z38,16,5/20/13,5/23/13,23:00,BR,Deephole,1,1.5,10
Z45,16,5/21/13,5/23/13,11:00,BR,Deephole,1,1.5,1
Z48,16,5/21/13,5/23/13,11:00,BR,Deephole,3.5,4,1
Z47,16,5/21/13,5/24/13,11:00,BR,Deephole,2.5,3,
Z78,16,5/23/13,5/24/13,11:30,RB,Deephole,0,3,0
Z84,16,5/24/13,5/24/13,11:30,HB,Deephole,0,4.5,0
Z43,16,5/21/13,5/24/13,11:00,BR,Deephole,0,0.5,6
Z74,16,5/23/13,5/28/13,11:00,RB,Deephole,2,2.5,0
Z75,16,5/23/13,5/28/13,11:00,RB,Deephole,3,3.5,0
Z67,16,5/22/13,5/28/13,23:00,RB,Deephole,1,1.5,2
Z99,16,5/28/13,5/28/13,12:00,TU,Deephole,1,10,93
Z77,16,5/23/13,5/29/13,11:00,RB,Deephole,5,5.5,0
Z68,16,5/22/13,5/29/13,23:00,RB,Deephole,2,2.5,7
Z66,16,5/22/13,5/27/13,23:00,RB,Deephole,0,0.5,0
Z69,16,5/22/13,5/27/13,23:00,RB,Deephole,3,3.5,21
Z76,16,5/23/13,5/28/13,11:00,RB,Deephole,4,4.5,0
Z72,16,5/23/13,5/29/13,11:00,RB,Deephole,0,0.5,1
Z126,16,5/29/13,5/30/13,10:30,EL,Deephole,0,10,27
Z127,16,5/29/13,5/30/13,10:30,WL,Deephole,0,10,125
Z120,16,5/29/13,5/30/13,12:00,DW,Deephole,0,3,8
Z98,16,5/27/13,5/30/13,11:00,TU,Deephole,10.5,11,2
Z128,16,5/28/13,6/3/13,,CB,Deephole,0,3,35
Z97,16,5/27/13,6/2/13,11:00,TU,Deephole,9,9.5,0
Z155,16,5/31/13,6/4/13,11:30,RE,Deephole,0,11,7
Z163,16,6/3/13,6/4/13,12:00,BA,Deephole,0,7,0
Z187,16,6/4/13,6/5/13,12:00,BR,Deephole,0,2.5,0
Z101,16,5/28/13,6/5/13,12:00,TU,Deephole,1.5,2,0
Z190,16,6/5/13,6/5/13,12:00,EL,Deephole,0,9,16
Z256,16,6/12/13,6/17/13,,WL,Deephole,0,10,18
Z298,16,6/19/13,6/24/13,,EL,Deephole,0,10,14
Z297,16,6/19/13,7/1/13,11:00,WL,Deephole,0,10,16
Z280,16,6/13/13,7/1/13,12:00,RS,Deephole,4,4.5,2
Z238,16,6/10/13,7/1/13,12:00,TU,Deephole,10.5,11,12
Z234,16,6/10/13,7/1/13,13:30,TU,Deephole,4.5,5,0
Z292,16,6/14/13,6/27/13,11:30,RE,Deephole,10,10.5,2
Z291,16,6/14/13,6/27/13,11:30,RE,Deephole,8,8.5,1
Z235,16,6/10/13,6/28/13,13:30,TU,Deephole,6,6.5,0
Z218,16,6/7/13,6/25/13,11:00,HB,Deephole,1,1.5,0
Z279,16,6/13/13,6/26/13,12:00,,Deephole,3,3.5,0
Z283,16,6/13/13,6/27/13,23:30,,Deephole,2,2.5,22
Z130,16,5/28/13,6/25/13,11:00,,Deephole,2,2.5,3
Z129,16,5/28/13,6/25/13,11:00,,Deephole,0,0.5,0
Z212,16,6/6/13,6/25/13,23:00,,Deephole,1,1.5,23
Z140,16,5/31/13,6/24/13,11:30,,Deephole,0,0.5,0
Z131,16,5/28/13,6/24/13,11:00,,Deephole,1,1.5,1
Z122,16,5/29/13,6/24/13,23:00,,Deephole,1,1.5,75
Z114,16,5/29/13,6/20/13,11:30,,Deephole,0,0.5,0
Z115,16,5/29/13,6/21/13,11:30,,Deephole,1,1.5,0
Z149,16,5/31/13,6/21/13,11:30,,Deephole,2,2.5,0
Z143,16,5/30/13,6/19/13,,,Deephole,6,6.5,0
