Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z197,16,6/5/13,10/8/13,12:00,WL,Deephole,10.5,11,0
Z170,16,6/3/13,10/8/13,12:00,BA,Deephole,10,10.5,0
Z468,16,7/31/13,10/9/13,11:30,CB,Deephole,0,0.5,1
Z459,16,7/30/13,10/2/13,23:30,TU,Deephole,9,9.5,5
Z456,16,7/30/13,10/3/13,23:30,TU,Deephole,4.5,5,10
Z495,16,8/1/13,10/3/13,23:30,DW,Deephole,2,2.5,16
Z272,16,6/3/13,10/1/13,0:00,RE,Deephole,6,6.5,0
Z496,16,8/1/13,10/1/13,23:30,DW,Deephole,3,3.5,18
Z185,16,6/4/13,10/2/13,23:30,WL,Deephole,9,9.5,2
Z271,16,6/3/13,10/1/13,0:00,RE,Deephole,4,4.5,0
Z465,16,7/31/13,10/1/13,0:30,RB,Deephole,4,4.5,6
Z275,16,6/3/13,10/1/13,0:00,RE,Deephole,12,12.5,0
Z210,16,6/6/13,9/24/13,23:30,RB,Deephole,5,5.5,7
Z433,16,7/29/13,9/25/13,23:30,RE,Deephole,12,12.5,0
Z267,16,6/11/13,9/26/13,23:00,CB,Deephole,3,3.5,5
Z423,16,7/29/13,9/24/13,11:00,RE,Deephole,9,9.5,0
Z430,16,7/29/13,9/24/13,23:30,RE,Deephole,7.5,8,1
Z450,16,7/30/13,9/24/13,13:30,TU,Deephole,7.5,8,22
Z162,16,6/2/13,9/19/13,23:30,BA,Deephole,6,6.5,1
Z460,16,7/30/13,9/20/13,23:30,TU,Deephole,10.5,11,8
Z431,16,7/29/13,9/24/13,23:30,RE,Deephole,9,9.5,0
Z487,16,7/31/13,9/27/13,23:30,CB,Deephole,2,2.5,44
Z466,16,7/31/13,9/27/13,0:30,RB,Deephole,5,5.5,11
Z274,16,6/13/13,9/27/13,0:00,RE,Deephole,10,10.5,0
Z413,16,7/29/13,12/5/13,0:00,HB,Deephole,2,2.5,71
Z260,16,6/12/12,12/5/13,11:30,CB,Deephole,1,1.5,0
Z335,16,7/18/13,12/5/13,12:15,RS,Deephole,3,3.5,53
Z336,16,7/18/13,12/3/13,12:15,RS,Deephole,4,4.5,11
Z213,16,6/6/13,12/3/13,23:00,HB,Deephole,2,2.5,7
Z355,16,7/22/13,12/5/13,23:30,BA,Deephole,3,3.5,31
Z373,16,7/24/13,12/3/13,11:30,RB,Deephole,4,4.5,162
Z357,16,7/22/13,12/2/13,23:30,BA,Deephole,5,5.5,8
Z265,16,6/11/13,12/3/13,23:00,CB,Deephole,1,1.5,13
Z469,16,7/31/13,11/21/13,11:30,CB,Deephole,1,1.5,19
Z242,16,6/10/13,11/21/13,23:00,DW,Deephole,2,2.5,23
Z390,16,7/26/13,11/26/13,11:30,HB,Deephole,3,3.5,43
Z240,16,6/10/13,11/26/13,23:00,DW,Deephole,0,0.5,4
Z179,16,6/24/13,11/26/13,23:30,WL,Deephole,0,0.5,9
Z378,16,7/25/13,11/26/13,11:00,WL,Deephole,0,0.5,8
Z192,16,6/5/13,11/21/13,12:00,WL,Deephole,3,3.5,11
Z488,16,7/31/13,11/21/13,23:30,CB,Deephole,3,3.5,12
Z372,16,7/24/13,11/21/13,11:30,RB,Deephole,3,3.5,10
Z261,16,6/12/13,11/19/13,11:30,CB,Deephole,2,2.5,3
Z342,16,7/18/13,11/19/13,23:55,RS,Deephole,4,4.5,12
Z414,16,7/29/13,11/19/13,0:00,HB,Deephole,3,3.5,27
Z259,16,6/12/13,11/15/13,11:30,CB,Deephole,0,0.5,0
Z341,16,7/18/13,11/15/13,23:55,RS,Deephole,3,3.5,19
Z458,16,7/30/13,11/19/13,23:00,TU,Deephole,7.5,8,7
Z276,16,6/13/13,11/7/13,12:00,RS,Deephole,0,0.5,0
Z269,16,6/13/13,11/15/13,0:00,RE,Deephole,0,0.5,2
Z353,16,7/22/13,11/15/13,23:30,BA,Deephole,1,1.5,6
Z262,16,6/12/13,11/14/13,11:30,CB,Deephole,3,3.5,2
Z405,16,7/28/13,11/14/13,23:00,WL,Deephole,3,3.5,45
Z339,16,7/18/13,11/14/13,23:55,RS,Deephole,1,1.5,46
Z493,16,8/1/13,11/5/13,23:30,DW,Deephole,0,0.5,14
Z494,16,8/1/13,11/7/13,23:30,DW,Deephole,1,1.5,36
Z209,16,6/6/13,11/7/13,23:30,RB,Deephole,4,4.5,9
Z290,16,6/14/13,11/5/13,11:30,RE,Deephole,6,6.5,0
Z281,16,6/13/13,11/5/13,23:30,RS,Deephole,0,0.5,17
Z380,16,7/25/13,11/5/13,11:00,WL,Deephole,3,3.5,9
Z461,16,7/31/13,10/31/13,0:30,RB,Deephole,0,0.5,17
Z268,16,6/11/13,11/1/13,23:00,CB,Deephole,4,4.5,0
Z196,16,6/5/13,11/1/13,12:00,WL,Deephole,9,9.5,4
Z503,16,8/2/13,10/31/13,10:30,DW,Deephole,3,3.5,7
Z502,16,8/2/13,10/31/13,10:30,DW,Deephole,2,2.5,0
Z173,16,6/3/13,10/31/13,23:30,BR,Deephole,2,2.5,55
