Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),weight empty jar,weight jar full,weight subsample
Z22,16,5/19/13,5/20/13,23:00,BA,Deephole,2,2.5,20.2872,31.2991,11.0119
Z23,16,5/19/13,5/20/13,23:00,BA,Deephole,3,3.5,20.3126,33.8684,13.5558
Z14,16,5/15/13,5/16/13,,WL,Deephole,,,20.4126,39.4601,19.0475
Z15,16,5/15/13,5/16/13,,WL,Deephole,,,20.2373,40.4327,20.1954
Z16,16,5/15/13,5/16/13,,WL,Deephole,,,20.2498,34.9966,14.7468
Z12,16,5/15/13,5/15/13,,WL,Deephole,8,8.5,20.1,30.2,10.1
Z13,16,5/15/13,5/15/13,,WL,Deephole,10,10.5,20,26.5,6.5
Z19,16,5/15/13,5/16/13,,EL,Deephole,,,20.5952,34.464,13.8688
,16,1/9/13,5/13/13,,RB,Deephole,,,12.636,32.4546,16.2012
Z17,16,5/15/13,5/15/13,9:30,EL,Deephole,,,12.7091,39.7102,27.0021
Z18,16,5/15/13,5/16/13,,EL,Deephole,,,20.2833,37.3967,17.1134
Z9,16,5/15/13,5/15/13,,WL,Deephole,2,2.5,19.9,31.8,11.9
Z10,16,5/15/13,5/15/13,,WL,Deephole,4,4.5,20.1,29.7,9.6
Z11,16,5/15/13,5/15/13,,WL,Deephole,6,6.5,20.9,35.5,14.6
Z7,16,5/14/13,5/14/13,,CR,Deephole,7,7.5,19.9,37.8,17.9
Z5,16,5/14/13,5/14/13,,CR,Deephole,4.5,5,20.4,27.5,7.1
Z8,16,5/15/13,5/15/13,,WL,Deephole,0,0.5,19.8,31.5,11.7
Z2,16,5/14/13,5/14/13,,CR,Deephole,0,0.5,10,20,10
Z3,16,5/14/13,5/14/13,,CR,Deephole,1.5,2,10,20,10
Z4,16,5/14/13,5/14/13,,CR,Deephole,3,3.5,10,20,10
Z21,16,5/19/13,5/20/13,23:00,BA,Deephole,1,1.5,20,30,10
Z26,16,5/19/13,5/20/13,23:00,BA,Deephole,6,6.5,10,20,10
Z35,16,5/19/13,5/20/13,23:00,BA,Deephole,,,12.6452,35.4,7.1259
Z56,16,5/22/13,5/22/13,11:00,WL,Deephole,0,10,12.6996,27.597,14.8974
Z55,16,5/22/13,5/23/13,11:00,EL,Deephole,0,10,10,20,10
Z40,16,5/20/23,5/23/13,23:00,BR,Deephole,2.5,3,10,20,10
Z37,16,5/20/13,5/23/13,23:00,BR,Deephole,0.5,1,10,20,10
Z46,16,5/21/13,5/23/13,11:00,BR,Deephole,1.5,2,10,20,10
Z47,16,5/21/13,5/23/13,11:00,BR,Deephole,2.5,3,10,20,10
Z39,16,5/20/13,5/23/13,23:00,RB,Deephole,1.5,2,20.1305,29.5435,9.413
Z41,16,5/20/13,5/23/13,23:00,BR,Deephole,3.5,4,20.44,33.3638,12.9238
Z38,16,5/20/13,5/23/13,23:00,BR,Deephole,1,1.5,20.1902,33.3833,13.1931
Z78,16,5/23/13,5/24/13,11:30,RB,Deephole,0,3,12.5923,34.8978,4.4272
Z84,16,5/24/13,5/24/13,11:30,HB,Deephole,0,4.5,12.49,26.4973,14.0073
Z43,16,5/21/13,5/24/13,11:00,BR,Deephole,0,0.5,10,20,10
Z74,16,5/23/13,5/28/13,11:00,RB,Deephole,2,2.5,10,20,10
Z75,16,5/23/13,5/28/13,11:00,RB,Deephole,3,3.5,12.722,36.9379,19.219
Z67,16,5/22/13,5/28/13,23:00,RB,Deephole,1,1.5,10,20,10
Z66,16,5/22/13,5/27/13,23:00,RB,Deephole,0,0.5,19.9572,33.8926,13.9354
Z69,16,5/22/13,5/27/13,23:00,RB,Deephole,3,3.5,19.926,35.3487,15.4227
Z76,16,5/23/13,5/28/13,11:00,RB,Deephole,4,4.5,20.3385,30.6561,10.3176
Z72,16,5/23/13,5/29/13,11:00,RB,Deephole,0,0.5,10,20,10
Z126,16,5/29/13,5/30/13,10:30,EL,Deephole,0,10,10,20,10
Z127,16,5/29/13,5/30/13,10:30,WL,Deephole,0,10,10,20,10
Z120,16,5/29/13,5/30/13,12:00,DW,Deephole,0,3,12.5315,43.7443,6.1839
