taxa,m,b
cyclopoid,2.553,2.0577
calanoid,2.2634,1.2431
holopedium,3.19,6.4957
diaphanasoma,3.0468,1.6242
leptodora,2.408,0.479
bosmina,2.5294,2.7116
daphnia,2.72,1.9445
chydorus,2.5294,2.7116
