Zoop ID,Project ID,Date,Time,LakeID,Site,tow type,Depth Top (m),Depth Bot (m),Comments
Z94,16,5/27/13,23:00,TU,Deephole,schindler,4.5,5,
Z95,16,5/27/13,23:00,TU,Deephole,schindler,6,6.5,
Z96,16,5/27/13,23:00,TU,Deephole,schindler,7.5,8,
Z97,16,5/27/13,23:00,TU,Deephole,schindler,9,9.5,
Z98,16,5/27/13,23:00,TU,Deephole,schindler,10.5,11,
Z99,16,5/28/13,12:30,TU,Deephole,vertical,0,10,
Z100,16,5/28/13,12:30,TU,Deephole,schindler,0,0.5,
Z101,16,5/28/13,12:30,TU,Deephole,schindler,1.5,2,
Z102,16,5/28/13,12:30,TU,Deephole,schindler,3,3.5,
Z103,16,5/28/13,12:30,TU,Deephole,schindler,4.5,5,
Z104,16,5/28/13,12:30,TU,Deephole,schindler,6,6.5,
Z105,16,5/28/13,12:30,TU,Deephole,schindler,7.5,8,
Z106,16,5/28/13,12:30,TU,Deephole,schindler,9,9.5,
Z107,16,5/28/13,12:30,TU,Deephole,schindler,10.5,11,
Z108,16,5/28/13,23:00,DW,Deephole,schindler,0,0.5,
Z109,16,5/28/13,23:00,DW,Deephole,schindler,1,1.5,
Z110,16,5/28/13,23:00,DW,Deephole,schindler,2,2.5,
Z111,16,5/28/13,23:00,DW,Deephole,schindler,3,3.5,
Z112,16,5/28/13,23:00,DW,Deephole,schindler,4,4.5,
Z113,16,5/28/13,23:00,DW,Deephole,schindler,5,5.5,
Z114,16,5/29/13,11:00,DW,Deephole,schindler,0,0.5,
Z115,16,5/29/13,11:00,DW,Deephole,schindler,1,1.5,
Z116,16,5/29/13,11:00,DW,Deephole,schindler,2,2.5,
Z117,16,5/29/13,11:00,DW,Deephole,schindler,3,3.5,
Z118,16,5/29/13,11:00,DW,Deephole,schindler,4,4.5,
Z119,16,5/29/13,11:00,DW,Deephole,schindler,5,5.5,
Z120,16,5/29/13,11:00,DW,Deephole,vertical,0,3,
Z121,16,5/29/13,23:00,CB,Deephole,schindler,0,0.5,
Z122,16,5/29/13,23:00,CB,Deephole,schindler,1,1.5,
Z123,16,5/29/13,23:00,CB,Deephole,schindler,2,2.5,
Z124,16,5/29/13,23:00,CB,Deephole,schindler,3,3.5,
Z125,16,5/29/13,23:00,CB,Deephole,schindler,4,4.5,
Z126,3,5/29/13,10:30,EL,Deephole,vertical,0,10,
Z127,3,5/29/13,10:30,WL,Deephole,vertical,0,10,
Z128,16,5/30/13,11:00,CB,Deephole,vertical,0,3,
Z129,16,5/30/13,11:00,CB,Deephole,schindler,0,0.5,
Z130,16,5/30/13,11:00,CB,Deephole,schindler,1,1.5,
Z131,16,5/30/13,11:00,CB,Deephole,schindler,2,2.5,
Z132,16,5/30/13,11:00,CB,Deephole,schindler,3,3.5,
Z133,16,5/30/13,11:00,CB,Deephole,schindler,4,4.5,
Z134,17,5/24/13,10:30,WA,Deephole,vertical,0,5,
Z135,17,5/27/13,15:48,BO,Deephole,vertical,0,1.5,
Z136,17,5/27/13,12:04,CR,Deephole,vertical,0,8,
Z137,17,5/27/13,9:15,BR,Deephole,vertical,0,3.5,
Z138,17,5/27/13,11:00,NG,Deephole,vertical,0,1,
Z139,17,5/28/13,10:00,BA,Deephole,vertical,0,8,
Z140,16,5/30/13,23:00,RE,Deephole,schindler,0,0.5,
Z141,16,5/30/13,23:00,RE,Deephole,schindler,2,2.5,
Z142,16,5/30/13,23:00,RE,Deephole,schindler,4,4.5,
Z143,16,5/30/13,23:00,RE,Deephole,schindler,6,6.5,
Z144,16,5/30/13,23:00,RE,Deephole,schindler,8,8.5,
Z145,16,5/30/13,23:00,RE,Deephole,schindler,10,10.5,
Z146,16,5/30/13,23:00,RE,Deephole,schindler,12,12.5,
Z147,16,5/30/13,23:00,RE,Deephole,schindler,14,14.5,
Z148,16,5/31/13,11:30,RE,Deephole,schindler,0,0.5,
Z149,16,5/31/13,11:30,RE,Deephole,schindler,2,2.5,
Z150,16,5/31/13,11:30,RE,Deephole,schindler,4,4.5,
Z151,16,5/31/13,11:30,RE,Deephole,schindler,6,6.5,
Z152,16,5/31/13,11:30,RE,Deephole,schindler,8,8.5,
Z153,16,5/31/13,11:30,RE,Deephole,schindler,10,10.5,
Z154,16,5/31/13,11:30,RE,Deephole,schindler,12,12.5,
Z155,16,5/31/13,11:30,RE,Deephole,vertical,0,11,
Z156,16,6/2/13,23:30,BA,Deephole,schindler,0,0.5,
Z157,16,6/2/13,23:30,BA,Deephole,schindler,1,1.5,
Z158,16,6/2/13,23:30,BA,Deephole,schindler,2,2.5,
Z159,16,6/2/13,23:30,BA,Deephole,schindler,3,3.5,
Z160,16,6/2/13,23:30,BA,Deephole,schindler,4,4.5,
Z161,16,6/2/13,23:30,BA,Deephole,schindler,5,5.5,
Z162,16,6/2/13,23:30,BA,Deephole,schindler,6,6.5,
Z163,16,6/3/13,12:00,BA,Deephole,vertical,0,7,
Z164,16,6/3/13,12:00,BA,Deephole,schindler,0,0.5,
Z165,16,6/3/13,12:00,BA,Deephole,schindler,1,1.5,
Z166,16,6/3/13,12:00,BA,Deephole,schindler,2,2.5,
Z167,16,6/3/13,12:00,BA,Deephole,schindler,3,3.5,
Z168,16,6/3/13,12:00,BA,Deephole,schindler,4,4.5,
Z169,16,6/3/13,12:00,BA,Deephole,schindler,5,5.5,
Z170,16,6/3/13,12:00,BA,Deephole,schindler,6,6.5,
Z171,16,6/3/13,23:30,BR,Deephole,schindler,0,0.5,
Z172,16,6/3/13,23:30,BR,Deephole,schindler,1,1.5,
Z173,16,6/3/13,23:30,BR,Deephole,schindler,2,2.5,
Z174,16,6/3/13,23:30,BR,Deephole,schindler,3,3.5,
Z175,16,6/4/13,11:00,BR,Deephole,schindler,0,0.5,
Z176,16,6/4/13,11:00,BR,Deephole,schindler,1,1.5,
Z177,16,6/4/13,11:00,BR,Deephole,schindler,2,2.5,
Z178,16,6/4/13,11:00,BR,Deephole,schindler,3,3.5,
Z179,16,6/4/13,23:30,WL,Deephole,schindler,0,0.5,
Z180,16,6/4/13,23:30,WL,Deephole,schindler,1.5,2,
Z181,16,6/4/13,23:30,WL,Deephole,schindler,3,3.5,
Z182,16,6/4/13,23:30,WL,Deephole,schindler,4.5,5,
Z183,16,6/4/13,23:30,WL,Deephole,schindler,6,6.5,
Z184,16,6/4/13,23:30,WL,Deephole,schindler,7.5,8,
Z185,16,6/4/13,23:30,WL,Deephole,schindler,9,9.5,
Z186,16,6/4/13,23:30,WL,Deephole,schindler,10.5,11,
Z187,16,6/3/13,11:00,BR,Deephole,vertical,0,2.5,
Z188,16,6/5/13,11:30,WL,Deephole,schindler,0,0.5,
Z189,3,6/5/13,12:00,WL,Deephole,vertical,0,10,
Z190,3,6/5/13,12:00,EL,Deephole,vertical,0,9,
Z191,16,6/5/13,12:00,WL,Deephole,schindler,0,0.5,
Z192,16,6/5/13,12:00,WL,Deephole,schindler,1.5,2,
Z193,16,6/5/13,12:00,WL,Deephole,schindler,3,3.5,
Z194,16,6/5/13,12:00,WL,Deephole,schindler,4.5,5,
Z195,16,6/5/13,12:00,WL,Deephole,schindler,6,6.5,
Z196,16,6/5/13,12:00,WL,Deephole,schindler,7.5,8,
Z197,16,6/5/13,12:00,WL,Deephole,schindler,9,9.5,
Z198,16,6/5/13,12:00,WL,Deephole,schindler,10.5,11,
Z199,16,6/6/13,12:00,RB,Deephole,schindler,0,0.5,
Z200,16,6/6/13,12:00,RB,Deephole,schindler,1,1.5,
Z201,16,6/6/13,12:00,RB,Deephole,schindler,2,2.5,
Z202,16,6/6/13,12:00,RB,Deephole,schindler,3,3.5,
Z203,16,6/6/13,12:00,RB,Deephole,schindler,4,4.5,
Z204,16,6/6/13,12:00,RB,Deephole,schindler,5,5.5,
Z205,16,6/6/13,23:30,RB,Deephole,schindler,0,0.5,
Z206,16,6/6/13,23:30,RB,Deephole,schindler,1,1.5,
Z207,16,6/6/13,23:30,RB,Deephole,schindler,2,2.5,
Z208,16,6/6/13,23:30,RB,Deephole,schindler,3,3.5,
Z209,16,6/6/13,23:30,RB,Deephole,schindler,4,4.5,
Z210,16,6/6/13,23:30,RB,Deephole,schindler,5,5.5,
Z211,16,6/6/13,23:00,HB,Deephole,schindler,0,0.5,
Z212,16,6/6/13,23:00,HB,Deephole,schindler,1,1.5,
Z213,16,6/6/13,23:00,HB,Deephole,schindler,2,2.5,
Z214,16,6/6/13,23:00,HB,Deephole,schindler,3,3.5,
Z215,16,6/6/13,23:00,HB,Deephole,schindler,4,4.5,
Z216,16,6/6/13,12:00,RB,Deephole,vertical,0,5,
Z217,16,6/7/13,11:30,HB,Deephole,schindler,0,0.5,
Z218,16,6/7/13,11:30,HB,Deephole,schindler,1,1.5,
Z219,16,6/7/13,11:30,HB,Deephole,schindler,2,2.5,
Z220,16,6/7/13,11:30,HB,Deephole,schindler,3,3.5,
Z221,16,6/7/13,11:30,HB,Deephole,schindler,4,4.5,
Z222,16,6/7/13,11:30,HB,Deephole,vertical,0,4,
Z223,16,6/9/13,23:30,TU,Deephole,schindler,0,0.5,
Z224,16,6/9/13,23:30,TU,Deephole,schindler,1.5,2,
Z225,16,6/9/13,23:30,TU,Deephole,schindler,3,3.5,
Z226,16,6/9/13,23:30,TU,Deephole,schindler,4.5,5,
Z227,16,6/9/13,23:30,TU,Deephole,schindler,6,6.5,
Z228,16,6/9/13,23:30,TU,Deephole,schindler,7.5,8,
Z229,16,6/9/13,23:30,TU,Deephole,schindler,9,9.5,
Z230,16,6/9/13,23:30,TU,Deephole,schindler,10.5,11,
Z231,16,6/10/13,13:30,TU,Deephole,schindler,0,0.5,
Z232,16,6/10/13,13:30,TU,Deephole,schindler,1.5,2,
Z233,16,6/10/13,13:30,TU,Deephole,schindler,3,3.5,
Z234,16,6/10/13,13:30,TU,Deephole,schindler,4.5,5,
Z235,16,6/10/13,13:30,TU,Deephole,schindler,6,6.5,
Z236,16,6/10/13,13:30,TU,Deephole,schindler,7.5,8,
Z237,16,6/10/13,13:30,TU,Deephole,schindler,9,9.5,
Z238,16,6/10/13,13:30,TU,Deephole,schindler,10.5,11,
Z239,16,6/10/13,13:30,TU,Deephole,vertical,0,10.5,
Z240,16,6/10/13,23:00,DW,Deephole,schindler,0,0.5,
Z241,16,6/10/13,23:00,DW,Deephole,schindler,1,1.5,
Z242,16,6/10/13,23:00,DW,Deephole,schindler,2,2.5,
Z243,16,6/10/13,23:00,DW,Deephole,schindler,3,3.5,
Z244,16,6/10/13,23:00,DW,Deephole,schindler,4,4.5,
Z245,16,6/10/13,23:00,DW,Deephole,schindler,5,5.5,
Z246,16,6/11/13,11:00,DW,Deephole,schindler,0,0.5,
Z247,16,6/11/13,11:00,DW,Deephole,schindler,1,1.5,
Z248,16,6/11/13,11:00,DW,Deephole,schindler,2,2.5,
Z249,16,6/11/13,11:00,DW,Deephole,schindler,3,3.5,
Z250,16,6/11/13,11:00,DW,Deephole,schindler,4,4.5,
Z251,16,6/11/13,11:00,DW,Deephole,schindler,5,5.5,
Z252,16,6/11/13,11:00,DW,Deephole,vertical,0,5,
Z253,3,6/12/13,9:00,EL,Deephole,vertical,0,10,
Z254,3,6/12/13,9:00,EL,Deephole,vertical,0,10,
Z255,3,6/12/13,9:00,EL,Deephole,vertical,0,10,
Z256,3,6/12/13,9:00,WL,Deephole,vertical,0,10,
Z257,3,6/12/13,9:00,WL,Deephole,vertical,0,10,
Z258,3,6/12/13,9:00,WL,Deephole,vertical,0,10,
Z259,16,6/12/13,11:30,CB,Deephole,schindler,0,0.5,
Z260,16,6/12/13,11:30,CB,Deephole,schindler,1,1.5,
Z261,16,6/12/13,11:30,CB,Deephole,schindler,2,2.5,
Z262,16,6/12/13,11:30,CB,Deephole,schindler,3,3.5,
Z263,16,6/12/13,11:30,CB,Deephole,schindler,4,4.5,
Z264,16,6/11/13,23:00,CB,Deephole,schindler,0,0.5,
Z265,16,6/11/13,23:00,CB,Deephole,schindler,1,1.5,
Z266,16,6/11/13,23:00,CB,Deephole,schindler,2,2.5,
Z267,16,6/11/13,23:00,CB,Deephole,schindler,3,3.5,
Z268,16,6/11/13,23:00,CB,Deephole,schindler,4,4.5,
Z269,16,6/13/13,0:00,RE,Deephole,schindler,0,0.5,
Z270,16,6/13/13,0:00,RE,Deephole,schindler,2,2.5,
Z271,16,6/13/13,0:00,RE,Deephole,schindler,4,4.5,
Z272,16,6/13/13,0:00,RE,Deephole,schindler,6,6.5,
Z273,16,6/13/13,0:00,RE,Deephole,schindler,8,8.5,
Z274,16,6/13/13,0:00,RE,Deephole,schindler,10,10.5,
Z275,16,6/13/13,0:00,RE,Deephole,schindler,12,12.5,
Z276,16,6/13/13,12:30,RS,Deephole,schindler,0,0.5,
Z277,16,6/13/13,12:30,RS,Deephole,schindler,1,1.5,
Z278,16,6/13/13,12:30,RS,Deephole,schindler,2,2.5,
Z279,16,6/13/13,12:30,RS,Deephole,schindler,3,3.5,
Z280,16,6/13/13,12:30,RS,Deephole,schindler,4,4.5,
Z281,16,6/13/13,23:30,RS,Deephole,schindler,0,0.5,
Z282,16,6/13/13,23:30,RS,Deephole,schindler,1,1.5,
Z283,16,6/13/13,23:30,RS,Deephole,schindler,2,2.5,
Z284,16,6/13/13,23:30,RS,Deephole,schindler,3,3.5,
Z285,16,6/13/13,23:30,RS,Deephole,schindler,4,4.5,
Z286,16,6/13/13,12:30,RS,Deephole,vertical,0,4,
Z287,16,6/14/13,11:30,RE,Deephole,schindler,0,0.5,
Z288,16,6/14/13,11:30,RE,Deephole,schindler,2,2.5,
Z289,16,6/14/13,11:30,RE,Deephole,schindler,4,4.5,
Z290,16,6/14/13,11:30,RE,Deephole,schindler,6,6.5,
Z291,16,6/14/13,11:30,RE,Deephole,schindler,8,8.5,
Z292,16,6/14/13,11:30,RE,Deephole,schindler,10,10.5,
Z293,16,6/14/13,11:30,RE,Deephole,schindler,12,12.5,
Z294,16,6/17/13,11:30,BA,Deephole,vertical,0,7,
Z295,16,6/14/13,11:30,RE,Deephole,vertical,0,11,
Z296,16,6/18/13,11:30,BR,Deephole,vertical,0,3,
Z297,3,6/19/13,13:00,WL,Deephole,vertical,0,10,
Z298,3,6/19/13,14:00,EL,Deephole,vertical,0,10,
Z299,16,6/20/13,14:00,RB,Deephole,vertical,0,4.5,
Z300,16,6/24/13,12:30,TU,Deephole,vertical,0,10.5,
Z301,3,6/26/13,9:00,WL,Deephole,vertical,0,10,
Z302,3,6/26/13,10:05,EL,Deephole,vertical,0,10,
Z303,3,7/3/13,8:30,WL,Deephole,vertical,0,10,
Z304,3,7/3/13,10:00,EL,Deephole,vertical,0,10,
Z305,16,7/9/13,11:00,BR,Deephole,vertical,0,4,
Z306,16,6/25/13,12:15,DW,Deephole,vertical,0,5.5,
Z307,16,6/26/13,13:00,CB,Deephole,vertical,0,5,
Z308,16,6/27/13,14:00,RE,Deephole,vertical,0,11.5,
Z309,16,6/28/13,12:00,RS,Deephole,vertical,0,3.5,
Z310,16,7/8/13,11:00,BA,Deephole,vertical,0,6,
Z311,16,7/10/13,11:30,WL,Deephole,vertical,0,10,
Z312,16,7/10/13,12:30,EL,Deephole,vertical,0,10,
Z313,17,5/30/13,9:30,PE,Deephole,vertical,0,10,
