,ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,X.N,Area.All.C,Area.C.44,X.C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C,amountN.mg,amountC.mg,flag,ProjectID,Date.time,lakeID,Site,depthClass,depth,volFiltered,comments,PON,POC,dateTimeSample,dateSample
23,P-0657,NA,NA,1.79,242,1.776,1.467,0,8.018,7.892,0,726,906,0.034,-30.368,0.016494,0.1544222,0,3,6/5/13 9:00,WL,DeepHole,Hypo,8,140,,0.117814286,1.103015714,2013-06-05 09:00:00,2013-06-05 00:00:00
24,P-0658,NA,NA,1.551,198,1.539,0.281,0,6.273,6.174,0,561,699,0.027,-28.807,0.0144386,0.1231867,0,3,6/5/13 10:45,EL,DeepHole,PML,0-1.5,180,,0.080214444,0.684370556,2013-06-05 10:45:00,2013-06-05 00:00:00
25,P-0659,NA,NA,1.211,163,1.202,1.434,0,5.863,5.771,0,530,662,0.025,-30.281,0.0115146,0.1158477,0,3,6/5/13 10:45,EL,DeepHole,Hypo,8,140,,0.082247143,0.827483571,2013-06-05 10:45:00,2013-06-05 00:00:00
26,P-0660,NA,NA,3.342,446,3.316,1.111,0,14.395,14.169,0,1264,1573,0.062,-31.949,0.0298412,0.2685705,0,3,6/5/13 10:30,EL,Outlet,Surface,0,100,,0.298412,2.685705,2013-06-05 10:30:00,2013-06-05 00:00:00
27,P-0661,NA,NA,0.79,101,0.784,2.295,0,7.055,6.944,0,643,798,0.03,-25.105,0.007894,0.1371845,0,3,6/5/13 12:00,EL,Inlet,Surface,0,180,,0.043855556,0.762136111,2013-06-05 12:00:00,2013-06-05 00:00:00
28,P-0680,NA,NA,0.954,119,0.947,-0.389,0,4.426,4.356,0,398,497,0.019,-28.078,0.0093044,0.0901254,0,3,6/12/13 10:05,EL,DeepHole,PML,0-1,200,,0.046522,0.450627,2013-06-12 10:05:00,2013-06-12 00:00:00
29,P-0681,NA,NA,0.93,125,0.923,2.174,0,5.652,5.563,0,517,645,0.024,-28.06,0.009098,0.1120708,0,3,6/12/13 10:05,EL,DeepHole,Hypo,8,140,,0.064985714,0.800505714,2013-06-12 10:05:00,2013-06-12 00:00:00
30,P-0684,NA,NA,0.834,117,0.828,1.616,0,4.587,4.515,0,371,460,0.02,-27.575,0.0060388,0.0851964,0,3,6/12/13 9:00,WL,DeepHole,PML,0-1,200,,0.030194,0.425982,2013-06-12 09:00:00,2013-06-12 00:00:00
31,P-0685,NA,NA,2.125,279,2.109,-0.691,0,9.852,9.697,0,781,970,0.042,-31.751,0.016625,0.1757544,0,3,6/12/13 9:00,WL,DeepHole,Hypo,8,180,,0.092361111,0.976413333,2013-06-12 09:00:00,2013-06-12 00:00:00
32,P-0706,NA,NA,1.111,146,1.103,0.671,0,5.776,5.685,0,463,574,0.025,-27.344,0.0083102,0.1056472,0,3,6/19/13 9:00,EL,DeepHole,PML,0-1.5,180,,0.046167778,0.586928889,2013-06-19 09:00:00,2013-06-19 00:00:00
33,P-0707,NA,NA,0.986,125,0.979,0.124,0,7.417,7.301,0,589,730,0.032,-27.893,0.0072852,0.1338724,0,3,6/19/13 9:00,EL,DeepHole,Hypo,8,140,,0.052037143,0.956231429,2013-06-19 09:00:00,2013-06-19 00:00:00
34,P-0708,NA,NA,1.332,173,1.321,2.462,0,6.097,6.001,0,485,601,0.026,-26.718,0.0101224,0.1111684,0,3,6/19/13 8:15,WL,DeepHole,PML,0-1.5,200,,0.050612,0.555842,2013-06-19 08:15:00,2013-06-19 00:00:00
35,P-0709,NA,NA,2.079,290,2.064,-1.481,0,8.838,8.7,0,708,879,0.038,-31.206,0.0162478,0.1583136,0,3,6/19/13 8:15,WL,DeepHole,Hypo,8,200,,0.081239,0.791568,2013-06-19 08:15:00,2013-06-19 00:00:00
36,P-0710,NA,NA,0.602,77,0.597,-0.22,0,7.059,6.948,0,567,701,0.03,-25,0.0041364,0.1277148,0,3,6/19/13 9:00,EL,Inlet,Surface,0,280,,0.014772857,0.456124286,2013-06-19 09:00:00,2013-06-19 00:00:00
37,P-0711,NA,NA,1.613,212,1.6,1.202,0,8.805,8.666,0,703,870,0.038,-26.553,0.0124266,0.157746,0,3,6/19/13 9:00,EL,Outlet,Surface,0,180,,0.069036667,0.876366667,2013-06-19 09:00:00,2013-06-19 00:00:00
38,P-0736,NA,NA,1.242,165,1.233,0.46,0,4.782,4.706,0,383,476,0.02,-27.851,0.0093844,0.0885504,0,3,6/26/13 8:30,WL,DeepHole,PML,0-1,200,,0.046922,0.442752,2013-06-26 08:30:00,2013-06-26 00:00:00
