"","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgC","mgN","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments"
"34","P-1117",NA,NA,1.8,243,1.786,-3.24,0,7.09,6.979,0,568,713,0.031,-34.563,0.125122,0.01554,3,"06/25/2014","WL","DH","Hypo","8","140","1"
"35","P-1118",NA,NA,0.874,111,0.867,0.049,0,3.494,3.439,0,280,353,0.015,-29.609,0.0683052,0.0078542,3,"06/25/2014","EL","DH","PML","1","140","1"
"36","P-1119",NA,NA,1.626,210,1.614,-3.908,0,6.321,6.222,0,506,637,0.027,-34.466,0.1129718,0.0140958,3,"06/25/2014","EL","DH","Hypo","8","140","1"
"37","P-1120",NA,NA,2.66,344,2.64,0.524,0,14.43,14.204,0,1142,1419,0.062,-28.65,0.241094,0.022678,3,"06/25/2014","EL","Outlet","surface","0","140","1"
"38","P-1121",NA,NA,0.683,82,0.678,1.035,0,4.496,4.425,0,356,443,0.019,-25.549,0.0841368,0.0062689,3,"06/25/2014","EL","Inlet","surface","0","120","1"
"39","P-1139",NA,NA,0.844,105,0.837,0.175,0,3.843,3.782,0,307,384,0.017,-30.138,0.0738194,0.0076052,3,"07/02/2014","WL","DH","PML","2","140","1"
"40","P-1140",NA,NA,1.773,231,1.759,-2.982,0,6.324,6.225,0,506,637,0.027,-34.762,0.1130192,0.0153159,3,"07/02/2014","WL","DH","Hypo","8","120","1"
"41","P-1141",NA,NA,0.543,69,0.539,-0.632,0,2.684,2.641,0,217,272,0.012,-29.72,0.0555072,0.0051069,3,"07/02/2014","EL","DH","PML","1.5","120","1"
"42","P-1142",NA,NA,1.301,162,1.292,-3.536,0,5.323,5.24,0,423,532,0.023,-34.414,0.0972034,0.0113983,3,"07/02/2014","EL","DH","Hypo","8","120","1"
"43","P-1143",NA,NA,1.343,166,1.333,-0.405,0,7.05,6.939,0,563,697,0.03,-28.802,0.12449,0.0117469,3,"07/02/2014","EL","Outlet","surface","0","120","1"
